cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
2.167,9.938,1.171,0.833,9.2,5208.0,605.0
3.033,9.943,0.692,0.826,11.8,6690.0,380.0
2.023,9.997,0.981,0.858,15.1,8549.0,511.0
3.235,9.957,0.98,0.855,16.0,9042.0,510.0
2.365,9.644,1.002,0.818,16.2,9125.0,548.0
2.1,9.56,1.078,0.824,17.7,10022.0,575.0
2.784,9.76,0.449,0.832,18.3,10316.0,355.0
3.107,9.561,0.901,0.828,18.3,10358.0,507.0
3.824,9.591,0.6,0.829,19.4,10939.0,357.0
2.069,9.769,1.094,0.859,19.8,11174.0,551.0
2.507,9.468,0.965,0.817,20.1,11353.0,537.0
2.924,9.797,0.884,0.874,20.1,11361.0,469.0
2.528,9.423,1.125,0.801,20.6,11659.0,592.0
3.162,9.764,0.872,0.841,20.9,11806.0,464.0
2.363,9.398,1.136,0.803,21.2,11956.0,596.0
2.35,9.973,1.145,0.906,21.3,12042.0,555.0
2.42,9.992,1.025,0.901,21.4,12087.0,512.0
3.224,9.477,0.65,0.814,21.4,12102.0,384.0
2.694,9.756,0.815,0.867,21.4,12113.0,438.0
3.517,9.375,0.953,0.828,22.1,12495.0,539.0
3.908,9.438,0.232,0.824,23.1,13033.0,768.0
2.743,9.482,0.428,0.814,23.4,13206.0,416.0
2.175,9.66,0.238,0.819,23.8,13450.0,743.0
2.975,9.892,0.979,0.899,24.0,13552.0,494.0
2.428,9.263,1.098,0.833,24.2,13692.0,595.0
2.285,9.665,0.692,0.853,24.3,13754.0,378.0
3.196,9.785,0.457,0.842,24.5,13827.0,347.0
3.73,9.902,0.559,0.887,27.3,15421.0,301.0
3.793,9.509,0.707,0.848,27.4,15470.0,404.0
3.978,9.554,0.484,0.838,27.9,15752.0,381.0
2.173,9.181,0.56,0.811,28.0,15809.0,412.0
3.302,9.172,0.455,0.804,28.3,15966.0,457.0
3.34,9.708,0.999,0.894,28.3,15970.0,510.0
2.279,9.97,1.033,0.94,28.3,15991.0,528.0
3.186,9.443,0.814,0.852,28.3,16008.0,461.0
3.451,9.109,0.546,0.802,29.0,16409.0,433.0
2.187,9.362,1.158,0.858,29.1,16439.0,585.0
2.618,9.166,0.255,0.819,29.4,16602.0,742.0
3.483,9.608,0.245,0.847,29.5,16644.0,718.0
3.88,9.64,1.047,0.895,29.7,16788.0,533.0
2.848,9.579,0.331,0.874,30.0,16973.0,521.0
2.247,9.412,0.64,0.845,30.1,17024.0,382.0
