cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.77,8.448,0.633,0.826,37.0,21951.0,526.0
2.428,8.797,0.948,0.859,37.5,22261.0,542.0
3.378,9.315,0.402,0.924,37.7,22350.0,409.0
3.803,9.284,0.405,0.9,37.7,22364.0,416.0
2.817,9.681,1.168,0.999,37.8,22413.0,632.0
3.228,9.753,0.37,0.951,37.8,22462.0,373.0
3.542,9.301,0.32,0.913,37.9,22471.0,532.0
2.674,8.856,0.56,0.87,37.9,22521.0,431.0
2.496,8.38,1.172,0.826,38.1,22589.0,669.0
3.132,9.645,0.455,0.954,38.6,22891.0,330.0
3.106,9.739,0.84,0.995,38.6,22911.0,504.0
2.629,9.965,0.202,0.955,38.7,22949.0,768.0
2.792,9.886,0.224,0.929,38.9,23083.0,697.0
3.344,9.929,0.501,0.999,39.0,23135.0,325.0
3.584,8.332,0.576,0.827,39.1,23180.0,538.0
2.816,9.483,0.66,0.967,39.3,23305.0,398.0
2.492,9.755,0.716,0.975,39.6,23493.0,435.0
2.02,9.246,0.425,0.922,39.6,23511.0,386.0
3.672,8.303,0.645,0.825,39.7,23563.0,551.0
3.904,8.297,0.221,0.862,39.8,23597.0,870.0
3.555,7.757,0.243,0.808,40.0,23715.0,886.0
3.782,9.575,0.39,0.968,40.0,23724.0,388.0
2.491,8.657,1.149,0.838,40.0,23759.0,616.0
3.321,9.366,0.84,0.945,40.2,23853.0,494.0
3.438,9.887,0.47,0.994,40.3,23913.0,327.0
2.114,9.79,0.265,0.941,40.4,23997.0,574.0
2.11,8.259,1.145,0.817,40.6,24116.0,673.0
2.784,8.255,1.162,0.807,40.7,24160.0,678.0
3.502,9.307,0.888,0.972,41.2,24453.0,519.0
2.563,8.229,1.164,0.814,41.3,24492.0,680.0
3.277,8.178,0.522,0.831,41.7,24753.0,561.0
2.544,7.876,0.252,0.827,41.7,24772.0,850.0
2.829,9.447,0.506,0.967,41.8,24813.0,360.0
2.401,9.317,0.771,0.954,41.9,24843.0,461.0
2.216,9.286,0.838,0.942,42.1,24958.0,496.0
2.218,9.139,0.232,0.88,42.1,25011.0,748.0
3.52,9.492,0.32,0.953,42.2,25017.0,499.0
2.91,8.581,0.905,0.874,42.2,25052.0,549.0
3.766,8.9,1.023,0.903,42.5,25227.0,572.0
2.486,8.545,1.133,0.852,42.6,25252.0,622.0
3.024,8.882,1.161,0.908,42.6,25256.0,617.0
2.379,8.622,0.45,0.848,42.6,25264.0,489.0
3.911,8.96,0.648,0.899,42.6,25306.0,440.0
3.082,8.095,0.457,0.816,42.7,25353.0,596.0
2.833,8.535,1.098,0.879,42.8,25413.0,613.0
3.963,9.39,0.317,0.933,42.9,25483.0,523.0
2.878,8.44,0.279,0.839,43.1,25580.0,729.0
3.981,8.54,0.736,0.862,43.1,25604.0,520.0
2.93,8.139,0.716,0.827,43.2,25620.0,586.0
3.127,8.906,0.826,0.892,43.2,25625.0,492.0
2.349,8.583,0.447,0.847,43.3,25671.0,498.0
3.298,9.251,0.746,0.932,43.4,25777.0,456.0
2.096,7.773,0.249,0.81,43.6,25846.0,866.0
2.035,8.839,1.008,0.918,44.0,26108.0,570.0
3.241,8.497,0.864,0.852,44.0,26137.0,547.0
3.017,8.939,0.43,0.908,44.4,26343.0,443.0
2.344,9.141,0.967,0.969,44.6,26478.0,561.0
2.806,8.483,0.472,0.862,44.8,26560.0,506.0
3.34,8.861,0.656,0.911,44.8,26609.0,453.0
2.097,8.789,1.082,0.898,44.9,26665.0,600.0
2.005,8.052,1.083,0.828,45.0,26726.0,677.0
2.404,8.872,0.6,0.882,45.1,26794.0,435.0
2.955,7.959,0.487,0.802,45.4,26920.0,605.0
3.787,7.208,0.247,0.801,45.4,26966.0,926.0
2.292,8.778,0.965,0.898,45.5,27010.0,560.0
3.845,9.24,0.356,0.963,45.6,27085.0,486.0
3.713,8.292,0.378,0.878,45.8,27191.0,617.0
3.4,8.396,1.117,0.842,45.9,27214.0,632.0
3.997,9.075,1.01,0.936,45.9,27244.0,582.0
2.187,8.001,0.723,0.824,46.0,27279.0,607.0
3.22,8.389,1.142,0.838,46.0,27292.0,640.0
3.378,8.363,1.156,0.872,46.6,27633.0,647.0
2.45,8.824,0.505,0.888,46.6,27644.0,434.0
3.007,8.368,1.0,0.835,46.6,27673.0,599.0
2.826,8.366,0.518,0.836,46.9,27860.0,515.0
3.491,9.358,0.875,0.997,47.1,27970.0,538.0
3.38,7.218,0.254,0.813,47.2,27994.0,915.0
2.503,9.005,0.99,0.933,47.7,28314.0,579.0
3.635,8.299,1.197,0.854,47.9,28451.0,664.0
3.618,8.306,0.949,0.862,48.0,28463.0,593.0
3.145,8.669,0.955,0.901,48.0,28478.0,568.0
3.308,8.685,0.747,0.901,48.2,28609.0,501.0
2.636,9.067,0.655,0.963,48.2,28614.0,450.0
3.812,8.977,0.248,0.95,48.3,28634.0,715.0
2.716,8.649,1.017,0.905,48.3,28659.0,591.0
3.53,8.625,1.179,0.898,48.5,28781.0,645.0
2.885,9.029,0.682,0.935,48.8,28959.0,464.0
3.168,9.101,0.302,0.962,48.9,29036.0,580.0
2.817,7.718,0.457,0.819,49.1,29113.0,658.0
2.611,7.694,0.424,0.809,49.1,29128.0,679.0
2.694,7.442,0.309,0.818,49.3,29248.0,819.0
2.093,9.265,0.845,0.987,49.6,29452.0,528.0
2.868,8.223,0.597,0.835,49.8,29545.0,541.0
2.468,7.805,0.962,0.828,50.1,29737.0,684.0
3.94,8.588,0.587,0.914,50.1,29758.0,491.0
2.997,8.203,1.013,0.841,50.2,29805.0,619.0
3.353,8.197,0.708,0.86,50.3,29835.0,564.0
2.621,8.878,1.021,0.969,50.6,30022.0,599.0
3.876,8.56,0.554,0.907,50.7,30078.0,493.0
2.441,7.776,0.973,0.804,50.7,30101.0,690.0
2.77,8.071,0.382,0.834,50.8,30155.0,637.0
2.2,9.258,0.696,0.983,51.0,30260.0,469.0
3.956,8.54,0.844,0.895,51.0,30262.0,552.0
2.948,8.375,0.254,0.889,51.0,30266.0,776.0
3.241,7.762,1.152,0.822,51.2,30358.0,726.0
3.054,9.171,0.934,0.975,51.3,30430.0,573.0
3.562,8.332,0.292,0.906,51.3,30463.0,707.0
2.356,7.538,0.406,0.833,51.4,30490.0,714.0
3.496,9.296,0.495,0.977,51.7,30676.0,425.0
3.818,7.951,0.225,0.892,52.0,30851.0,874.0
2.27,8.939,0.481,0.949,52.2,30983.0,440.0
2.291,8.517,0.614,0.889,52.3,31041.0,493.0
2.028,7.691,0.862,0.803,52.3,31042.0,684.0
3.306,8.001,0.456,0.872,52.4,31119.0,601.0
3.432,8.877,0.451,0.961,52.7,31264.0,469.0
3.929,7.593,0.678,0.815,52.7,31276.0,682.0
3.781,7.928,0.447,0.874,52.8,31334.0,623.0
3.817,7.818,0.38,0.847,52.8,31355.0,690.0
2.239,7.473,0.211,0.847,53.0,31451.0,969.0
3.443,9.255,0.401,0.991,53.2,31568.0,462.0
2.257,9.127,0.8,0.985,53.2,31569.0,521.0
3.479,7.654,1.11,0.826,53.3,31658.0,735.0
3.499,8.782,0.806,0.937,53.6,31785.0,538.0
2.579,8.052,0.994,0.869,53.6,31794.0,637.0
2.72,7.809,0.334,0.853,53.7,31891.0,726.0
3.382,8.768,0.751,0.966,54.1,32113.0,525.0
2.993,8.728,1.007,0.971,54.2,32180.0,608.0
2.426,8.838,0.353,0.959,54.4,32274.0,535.0
3.503,8.164,0.31,0.914,54.4,32312.0,703.0
3.402,8.766,0.38,0.93,54.5,32334.0,531.0
2.156,8.372,1.131,0.924,54.5,32372.0,655.0
2.329,7.22,0.354,0.821,54.6,32386.0,802.0
2.498,7.957,0.527,0.865,54.6,32424.0,585.0
3.234,7.561,0.86,0.827,54.7,32470.0,709.0
2.89,7.714,0.345,0.879,55.1,32728.0,728.0
3.573,8.351,0.69,0.904,55.3,32799.0,544.0
3.146,8.288,0.395,0.897,55.3,32805.0,582.0
3.949,8.342,0.915,0.915,55.3,32838.0,600.0
3.912,9.04,0.74,0.989,55.4,32856.0,517.0
2.256,8.365,0.665,0.918,55.4,32863.0,528.0
2.669,7.964,1.138,0.879,55.5,32949.0,681.0
3.621,8.325,0.616,0.901,55.7,33026.0,535.0
3.698,7.948,1.18,0.837,55.9,33145.0,695.0
2.704,8.326,0.874,0.893,55.9,33183.0,588.0
3.115,9.108,0.461,0.98,56.1,33263.0,456.0
3.465,8.644,0.367,0.966,56.3,33429.0,564.0
2.564,8.609,0.245,0.936,56.4,33454.0,756.0
2.785,8.3,0.596,0.914,56.6,33578.0,529.0
2.546,8.234,0.372,0.907,56.6,33593.0,607.0
2.544,7.855,0.566,0.868,56.8,33684.0,602.0
3.277,8.267,0.984,0.922,57.1,33886.0,626.0
2.497,8.602,1.044,0.951,57.2,33928.0,632.0
3.558,7.459,1.124,0.821,57.4,34089.0,769.0
2.462,8.602,0.917,0.942,57.5,34122.0,593.0
3.985,8.605,0.752,0.94,57.6,34170.0,554.0
2.223,8.582,0.256,0.962,57.6,34194.0,730.0
2.504,7.442,1.004,0.802,57.6,34203.0,751.0
2.985,7.298,0.602,0.822,58.0,34409.0,719.0
2.029,9.063,0.208,0.983,58.2,34567.0,804.0
2.883,6.38,0.258,0.826,58.3,34603.0,995.0
3.097,8.542,1.134,0.937,58.5,34688.0,667.0
3.564,7.798,0.831,0.858,58.7,34812.0,652.0
2.019,9.055,0.287,0.997,58.8,34897.0,623.0
2.186,6.398,0.245,0.826,58.8,34924.0,1001.0
3.549,7.713,0.589,0.87,58.9,34945.0,640.0
2.8,5.895,0.212,0.807,58.9,34960.0,1104.0
2.369,8.386,0.224,0.944,59.0,35024.0,827.0
2.067,8.532,0.932,0.942,59.1,35091.0,607.0
2.774,8.059,0.369,0.894,59.1,35092.0,639.0
2.559,8.928,0.566,0.989,59.4,35246.0,484.0
3.282,6.747,0.356,0.827,59.4,35257.0,873.0
3.118,7.132,0.278,0.867,59.4,35273.0,878.0
2.501,8.129,0.462,0.926,59.5,35301.0,566.0
2.667,8.915,0.246,0.997,59.6,35393.0,723.0
3.813,7.163,0.324,0.852,59.7,35426.0,835.0
3.38,6.897,0.418,0.819,59.7,35442.0,814.0
2.345,8.905,0.599,0.975,59.7,35444.0,494.0
3.859,7.769,1.141,0.836,59.8,35499.0,712.0
2.85,6.387,0.279,0.826,60.1,35662.0,976.0
2.389,8.522,0.589,0.928,60.3,35763.0,520.0
2.072,8.464,1.181,0.946,60.3,35805.0,688.0
2.983,8.449,1.143,0.953,60.7,36046.0,679.0
2.325,8.348,0.261,0.93,60.9,36133.0,746.0
3.685,8.769,0.323,0.998,60.9,36142.0,628.0
3.313,6.371,0.307,0.808,61.0,36215.0,958.0
3.5,8.026,0.571,0.901,61.5,36470.0,583.0
3.527,7.571,0.588,0.852,61.5,36507.0,666.0
3.506,7.228,0.931,0.819,61.5,36510.0,781.0
2.433,8.862,0.42,0.996,61.6,36560.0,508.0
3.846,8.632,0.284,0.973,61.6,36571.0,701.0
2.555,8.74,0.938,0.989,61.9,36717.0,613.0
2.891,6.224,0.283,0.828,62.1,36864.0,992.0
2.026,7.508,0.224,0.909,62.5,37070.0,922.0
2.566,7.909,0.402,0.898,62.5,37111.0,631.0
2.686,8.371,0.419,0.948,62.8,37261.0,564.0
3.238,7.571,0.765,0.878,63.2,37500.0,678.0
3.976,8.704,0.493,0.973,63.2,37531.0,534.0
2.103,8.379,0.612,0.956,63.3,37583.0,546.0
2.996,7.022,0.314,0.87,63.3,37587.0,855.0
3.696,8.697,0.718,0.981,63.5,37686.0,561.0
2.47,8.361,0.523,0.956,63.6,37740.0,542.0
3.848,8.643,1.138,0.993,63.7,37821.0,687.0
3.812,7.032,0.748,0.833,63.8,37833.0,793.0
2.147,6.924,0.527,0.822,63.9,37893.0,775.0
2.276,8.637,1.064,0.973,64.1,38040.0,663.0
2.487,8.633,1.075,0.984,64.2,38077.0,667.0
3.436,7.465,0.64,0.838,64.2,38090.0,685.0
2.803,8.28,0.427,0.967,64.4,38233.0,577.0
3.672,7.05,0.872,0.829,64.6,38327.0,805.0
2.968,8.185,0.348,0.947,64.6,38334.0,649.0
2.644,7.495,0.277,0.921,64.6,38345.0,820.0
2.355,7.115,1.153,0.808,64.7,38420.0,830.0
3.72,8.644,0.583,0.98,64.9,38519.0,544.0
2.645,7.171,0.383,0.838,65.1,38627.0,773.0
3.673,4.739,0.211,0.815,65.3,38723.0,1169.0
3.775,8.581,1.163,0.999,65.3,38751.0,700.0
2.726,8.274,0.771,0.953,65.4,38829.0,604.0
3.05,8.269,0.815,0.967,65.5,38848.0,617.0
2.55,7.5,1.001,0.845,65.6,38950.0,726.0
2.404,7.018,0.893,0.809,65.8,39025.0,807.0
2.068,7.886,0.22,0.935,65.9,39080.0,881.0
3.319,5.623,0.268,0.808,65.9,39096.0,1065.0
3.615,8.382,0.285,0.984,66.1,39254.0,730.0
2.692,7.241,0.255,0.895,66.5,39472.0,885.0
2.739,8.221,0.624,0.943,66.6,39513.0,578.0
2.952,5.169,0.224,0.813,66.7,39565.0,1136.0
3.261,8.209,1.153,0.928,66.7,39567.0,708.0
3.234,6.525,0.451,0.803,66.7,39609.0,854.0
3.763,8.206,1.084,0.955,66.7,39610.0,694.0
2.384,7.433,1.013,0.84,67.1,39843.0,739.0
3.906,5.743,0.23,0.849,67.2,39874.0,1068.0
2.394,8.53,0.317,0.999,67.2,39883.0,654.0
2.398,7.326,0.611,0.844,67.2,39890.0,699.0
2.62,6.489,0.423,0.832,67.4,39985.0,868.0
2.791,7.838,0.266,0.956,67.4,39991.0,795.0
3.089,6.942,0.971,0.807,67.5,40064.0,835.0
2.182,6.883,0.765,0.83,67.6,40092.0,809.0
2.161,7.68,0.458,0.909,67.9,40275.0,643.0
2.023,8.553,0.464,0.985,67.9,40306.0,544.0
3.379,7.65,0.517,0.91,68.1,40438.0,652.0
2.44,7.346,0.801,0.87,68.2,40488.0,720.0
3.156,7.781,0.98,0.906,68.3,40528.0,699.0
3.285,6.742,0.679,0.822,68.6,40708.0,830.0
3.053,7.345,0.925,0.855,68.7,40750.0,740.0
2.201,6.81,0.742,0.812,68.7,40775.0,819.0
3.307,7.372,0.363,0.917,68.9,40887.0,752.0
3.343,8.108,1.022,0.958,69.2,41074.0,694.0
2.817,7.009,0.441,0.853,69.3,41107.0,764.0
2.902,6.968,0.255,0.911,69.3,41111.0,915.0
2.424,7.71,0.74,0.899,69.4,41185.0,654.0
3.237,8.302,0.319,0.997,69.5,41254.0,695.0
2.331,8.43,0.991,0.99,69.5,41264.0,672.0
