cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.889,9.794,0.929,0.918,0.8,387.0,327.0
3.143,9.853,0.932,0.919,-1.0,480.0,331.0
3.227,9.355,1.01,0.802,1.1,566.0,388.0
2.109,9.484,0.734,0.816,1.4,705.0,241.0
3.962,9.753,0.968,0.909,1.4,719.0,345.0
3.202,9.964,1.141,0.949,-1.8,890.0,441.0
3.062,9.854,0.994,0.901,-1.8,926.0,362.0
3.817,9.844,0.782,0.904,1.9,966.0,237.0
2.118,9.479,0.71,0.814,2.0,1015.0,224.0
2.96,9.323,0.99,0.825,2.2,1114.0,379.0
2.49,9.294,1.076,0.818,2.3,1159.0,410.0
2.907,9.699,1.02,0.904,2.4,1218.0,368.0
2.213,9.462,1.098,0.809,-2.6,1296.0,425.0
2.103,9.677,1.054,0.885,2.7,1376.0,383.0
2.994,9.966,1.166,0.985,2.8,1433.0,465.0
3.343,9.342,0.869,0.831,3.0,1497.0,322.0
3.165,9.882,0.687,0.91,3.3,1665.0,165.0
2.754,9.722,0.694,0.824,-3.8,1906.0,216.0
3.143,9.971,0.905,0.915,-3.9,1959.0,322.0
3.602,9.73,1.027,0.858,-3.9,1980.0,380.0
2.32,9.841,0.707,0.881,3.9,1983.0,181.0
2.127,9.967,0.598,0.919,4.1,2065.0,90.0
3.418,9.956,0.778,0.943,4.2,2098.0,243.0
2.798,9.818,0.872,0.861,-4.3,2162.0,313.0
3.544,9.91,1.156,0.991,4.7,2389.0,457.0
3.082,9.917,0.762,0.856,-4.8,2440.0,246.0
2.343,9.77,0.551,0.849,5.2,2613.0,139.0
2.723,9.795,0.405,0.818,5.2,2625.0,382.0
3.374,9.699,0.79,0.822,-5.2,2630.0,286.0
2.112,9.78,1.024,0.877,-5.3,2654.0,382.0
3.623,9.609,0.996,0.899,5.4,2719.0,355.0
3.251,9.825,0.656,0.815,-5.4,2723.0,192.0
3.468,9.938,1.091,0.912,-5.4,2727.0,408.0
3.217,9.778,0.71,0.918,5.5,2774.0,181.0
3.915,9.898,0.338,0.822,5.5,2793.0,539.0
2.41,9.362,1.168,0.849,5.6,2827.0,422.0
3.202,9.454,0.844,0.871,6.2,3125.0,283.0
3.491,9.369,0.619,0.827,6.6,3306.0,194.0
3.536,9.756,0.903,0.946,7.7,3862.0,317.0
2.408,9.555,0.46,0.821,7.8,3902.0,304.0
2.78,9.863,0.734,0.961,8.0,4031.0,207.0
3.719,9.715,1.004,0.82,-8.6,4342.0,402.0
2.323,9.26,1.164,0.849,8.7,4394.0,420.0
2.058,9.984,0.876,0.865,-8.8,4429.0,325.0
2.725,9.374,0.807,0.846,9.1,4564.0,259.0
3.202,9.538,0.869,0.925,9.2,4640.0,289.0
2.757,9.973,0.592,0.943,9.6,4814.0,88.0
3.155,9.568,0.794,0.897,9.6,4845.0,241.0
3.635,9.241,1.11,0.867,9.6,4855.0,401.0
2.239,9.907,0.501,0.899,9.8,4948.0,154.0
3.459,9.358,0.78,0.879,9.9,4968.0,241.0
2.186,9.168,0.714,0.804,10.0,5043.0,229.0
2.105,9.402,0.713,0.848,10.1,5060.0,196.0
2.274,9.577,1.186,0.969,10.1,5086.0,438.0
3.081,9.419,1.093,0.909,10.3,5160.0,394.0
2.051,9.002,1.075,0.802,10.7,5390.0,404.0
2.255,9.564,0.746,0.917,10.8,5415.0,207.0
3.693,9.975,0.728,0.82,-10.9,5466.0,256.0
2.218,9.416,0.996,0.911,11.3,5694.0,354.0
2.755,9.115,0.717,0.833,11.3,5697.0,233.0
3.646,9.799,0.513,0.922,11.3,5705.0,166.0
2.448,9.17,1.183,0.845,11.3,5712.0,425.0
2.418,9.576,0.702,0.925,11.4,5759.0,172.0
3.931,9.258,0.864,0.868,11.4,5763.0,289.0
2.862,9.856,0.818,0.974,11.6,5824.0,274.0
2.91,9.765,0.703,0.949,11.7,5890.0,180.0
2.038,9.702,0.569,0.888,12.1,6095.0,134.0
2.736,9.824,1.068,0.833,-12.2,6124.0,436.0
3.312,9.923,0.704,0.986,12.4,6246.0,190.0
2.55,9.876,0.461,0.917,12.5,6314.0,225.0
2.201,9.659,0.442,0.863,12.6,6362.0,307.0
3.757,9.157,0.57,0.805,12.7,6403.0,265.0
2.042,9.47,0.782,0.892,12.8,6437.0,233.0
2.84,9.383,0.907,0.888,13.4,6727.0,309.0
3.74,9.851,1.135,0.81,-13.5,6779.0,461.0
3.687,9.514,0.472,0.835,13.7,6874.0,286.0
2.545,9.334,1.003,0.897,13.8,6937.0,356.0
3.333,8.927,0.904,0.827,14.1,7111.0,332.0
3.752,9.971,0.474,0.963,14.6,7347.0,185.0
2.274,9.993,0.59,0.994,14.6,7369.0,113.0
2.438,9.357,0.867,0.892,14.7,7411.0,286.0
2.377,9.257,1.097,0.886,15.3,7725.0,395.0
3.791,9.098,0.513,0.809,15.4,7747.0,322.0
2.858,9.064,0.979,0.874,16.1,8088.0,345.0
2.892,9.531,0.295,0.809,16.3,8206.0,697.0
3.696,9.039,1.014,0.849,16.5,8302.0,361.0
3.81,9.467,0.602,0.916,16.7,8430.0,179.0
2.379,8.85,0.817,0.807,17.2,8672.0,300.0
2.911,9.601,0.674,0.949,17.2,8673.0,168.0
3.059,9.219,0.604,0.842,17.3,8715.0,221.0
2.314,9.007,1.027,0.864,17.4,8761.0,367.0
3.48,9.604,0.922,0.981,17.7,8902.0,333.0
2.219,8.789,0.955,0.831,17.7,8926.0,358.0
3.373,9.362,1.112,0.951,17.8,8951.0,409.0
2.912,9.308,0.507,0.856,17.9,8998.0,269.0
3.4,9.449,0.845,0.971,18.1,9132.0,282.0
2.378,9.311,0.713,0.894,18.8,9456.0,196.0
3.545,9.435,0.388,0.859,19.0,9571.0,469.0
2.387,8.975,0.925,0.859,19.3,9695.0,325.0
3.373,9.658,0.307,0.861,19.3,9710.0,642.0
3.446,9.603,0.314,0.843,19.7,9921.0,626.0
2.899,9.28,1.175,0.971,20.0,10077.0,431.0
2.404,9.159,0.928,0.906,20.0,10085.0,324.0
3.957,9.355,0.583,0.896,20.1,10140.0,212.0
3.479,8.665,1.152,0.824,20.3,10214.0,442.0
2.179,9.261,0.479,0.849,20.3,10227.0,307.0
3.126,9.246,0.722,0.894,20.4,10272.0,211.0
3.612,9.535,0.616,0.96,20.6,10385.0,180.0
3.703,9.769,0.341,0.904,20.9,10502.0,534.0
3.424,9.557,0.432,0.905,20.9,10544.0,343.0
3.268,8.762,0.668,0.806,21.3,10707.0,306.0
3.226,9.919,0.39,0.969,21.4,10773.0,383.0
3.059,9.118,0.914,0.912,21.5,10797.0,321.0
3.389,9.298,0.604,0.907,21.5,10821.0,211.0
2.263,9.125,0.891,0.908,21.5,10840.0,308.0
2.167,8.894,0.9,0.859,21.9,11039.0,321.0
3.453,9.405,0.209,0.8,22.1,11119.0,949.0
3.843,9.744,0.223,0.84,22.2,11167.0,876.0
2.451,9.423,0.242,0.808,22.2,11168.0,877.0
2.612,9.387,1.16,0.972,22.4,11260.0,438.0
2.204,8.84,1.049,0.868,22.4,11284.0,386.0
2.009,9.796,0.43,0.931,22.6,11352.0,292.0
2.414,9.03,1.109,0.887,22.6,11363.0,406.0
3.726,9.285,0.895,0.939,22.6,11365.0,321.0
2.08,9.179,0.716,0.92,22.6,11379.0,220.0
2.614,9.204,1.168,0.941,22.7,11404.0,431.0
2.43,9.36,0.747,0.949,22.8,11474.0,233.0
3.644,9.321,0.795,0.972,22.9,11541.0,266.0
3.158,9.69,0.252,0.859,22.9,11551.0,821.0
3.042,9.428,0.458,0.915,23.2,11682.0,308.0
2.113,9.134,0.749,0.925,23.3,11744.0,235.0
2.966,8.97,0.626,0.839,23.5,11825.0,266.0
3.319,9.619,0.245,0.853,24.1,12121.0,847.0
2.422,8.729,0.544,0.823,24.4,12297.0,354.0
2.182,8.841,0.81,0.877,24.5,12313.0,283.0
3.961,9.358,0.439,0.903,24.6,12364.0,370.0
3.146,9.234,0.551,0.889,24.8,12486.0,245.0
2.108,8.626,0.694,0.822,24.8,12503.0,325.0
2.315,9.305,0.503,0.882,24.9,12529.0,264.0
3.967,8.757,1.039,0.848,25.0,12588.0,390.0
2.633,8.755,1.022,0.876,25.3,12712.0,383.0
3.512,9.314,0.466,0.888,25.3,12736.0,322.0
3.597,9.093,0.409,0.865,25.5,12834.0,474.0
3.994,9.246,0.763,0.95,25.7,12948.0,259.0
2.914,8.539,0.838,0.832,25.8,12983.0,341.0
2.631,9.609,0.448,0.929,25.9,13020.0,286.0
2.525,9.174,0.383,0.838,25.9,13059.0,510.0
2.942,9.594,0.446,0.961,26.2,13167.0,295.0
3.697,8.786,0.783,0.873,26.2,13174.0,291.0
3.852,8.949,0.921,0.922,26.6,13411.0,340.0
3.613,8.51,0.817,0.831,26.7,13417.0,347.0
2.799,8.507,0.822,0.805,26.9,13519.0,346.0
2.873,8.869,0.318,0.81,26.9,13532.0,714.0
3.14,9.204,0.322,0.876,27.3,13748.0,661.0
2.373,8.771,0.709,0.841,27.8,13982.0,289.0
3.203,9.09,0.57,0.906,28.2,14173.0,267.0
2.572,8.749,0.709,0.867,28.4,14287.0,294.0
3.125,9.5,0.321,0.906,28.6,14389.0,624.0
2.088,8.684,0.407,0.823,28.7,14460.0,538.0
3.983,8.409,0.939,0.82,28.8,14506.0,392.0
2.215,9.158,0.33,0.839,29.1,14623.0,638.0
3.099,8.62,0.985,0.834,29.7,14939.0,382.0
3.789,8.529,0.43,0.802,29.7,14942.0,545.0
2.481,9.151,0.703,0.941,30.2,15176.0,255.0
2.384,9.097,0.5,0.892,30.4,15287.0,310.0
2.521,9.077,0.821,0.929,30.4,15318.0,300.0
2.968,8.6,0.874,0.867,31.1,15632.0,340.0
3.012,8.744,0.24,0.806,31.2,15690.0,928.0
3.087,8.93,0.364,0.853,31.3,15731.0,593.0
2.997,8.514,0.428,0.822,31.3,15733.0,543.0
3.609,8.301,0.822,0.828,32.6,16408.0,388.0
2.214,8.594,0.725,0.875,32.7,16467.0,323.0
2.56,8.524,0.351,0.824,33.0,16589.0,685.0
2.661,9.23,0.504,0.957,33.3,16782.0,294.0
3.499,8.247,0.963,0.806,33.6,16933.0,417.0
3.486,9.26,0.457,0.928,33.7,16950.0,351.0
3.409,8.56,0.673,0.868,34.0,17115.0,343.0
2.149,8.978,0.796,0.944,34.0,17132.0,309.0
3.193,9.32,0.583,0.974,34.3,17284.0,265.0
2.674,8.864,0.578,0.909,34.5,17358.0,308.0
3.015,9.121,0.861,1.0,34.8,17525.0,338.0
3.55,8.744,0.745,0.887,35.0,17610.0,313.0
3.87,8.212,0.806,0.83,35.1,17672.0,408.0
2.064,8.455,0.337,0.811,35.2,17699.0,725.0
2.864,8.872,0.293,0.844,35.2,17723.0,782.0
2.691,8.467,0.248,0.818,35.9,18086.0,936.0
3.749,8.448,0.77,0.839,36.2,18236.0,357.0
2.28,9.053,0.374,0.895,36.3,18280.0,537.0
3.845,8.687,0.744,0.916,36.6,18419.0,327.0
3.79,8.145,0.972,0.802,36.6,18426.0,440.0
2.929,8.556,0.491,0.877,36.9,18579.0,436.0
3.148,8.118,1.193,0.829,37.1,18649.0,505.0
3.698,9.11,0.732,0.978,37.2,18703.0,306.0
2.386,8.377,0.274,0.815,37.5,18867.0,883.0
2.122,8.342,1.194,0.836,37.7,18986.0,480.0
3.847,9.046,0.799,0.987,38.1,19193.0,333.0
3.111,8.139,0.657,0.804,38.1,19201.0,435.0
2.142,9.318,0.491,0.981,38.2,19234.0,312.0
3.611,9.148,0.393,0.932,38.7,19473.0,490.0
3.76,8.524,0.316,0.862,38.9,19565.0,753.0
3.68,8.965,0.517,0.937,39.4,19848.0,353.0
3.371,8.101,0.477,0.827,39.7,19962.0,551.0
2.877,8.907,1.111,0.982,39.9,20101.0,455.0
2.444,8.178,0.351,0.813,40.0,20123.0,734.0
2.909,8.15,0.249,0.819,40.2,20224.0,968.0
2.934,9.17,0.228,0.912,40.4,20356.0,939.0
3.734,9.941,0.207,0.996,41.3,20801.0,943.0
3.833,8.542,0.697,0.889,41.5,20876.0,358.0
3.33,8.553,0.681,0.89,41.6,20945.0,354.0
3.641,8.878,0.984,0.997,41.9,21090.0,413.0
2.89,9.025,0.404,0.941,42.3,21283.0,479.0
2.152,8.691,0.433,0.888,42.9,21608.0,480.0
2.647,8.4,0.367,0.834,43.0,21647.0,664.0
2.562,8.447,0.863,0.892,43.4,21847.0,391.0
3.913,8.425,0.936,0.922,43.5,21874.0,417.0
3.742,9.533,0.266,0.988,43.5,21886.0,777.0
3.243,7.921,0.937,0.815,43.5,21912.0,477.0
3.511,8.793,1.181,0.994,43.7,21993.0,488.0
2.004,8.407,0.986,0.889,44.0,22153.0,427.0
3.616,7.826,0.32,0.833,44.1,22181.0,846.0
2.404,9.71,0.256,0.994,44.4,22344.0,800.0
2.722,8.428,0.249,0.846,44.4,22358.0,944.0
3.233,8.596,0.4,0.913,44.9,22589.0,564.0
2.972,8.271,0.403,0.872,44.9,22608.0,617.0
2.255,7.888,0.667,0.821,45.3,22783.0,478.0
3.796,8.153,0.346,0.859,45.8,23055.0,745.0
2.563,8.411,0.707,0.903,45.9,23102.0,378.0
3.088,8.549,1.065,0.943,46.1,23202.0,457.0
3.66,9.061,0.245,0.931,46.4,23359.0,892.0
3.243,8.453,0.526,0.89,46.4,23379.0,429.0
2.293,8.342,0.267,0.841,46.5,23390.0,899.0
3.022,8.093,0.94,0.858,46.5,23414.0,450.0
3.25,8.379,0.716,0.893,46.6,23447.0,388.0
3.889,8.898,0.292,0.954,46.7,23512.0,769.0
3.957,8.419,0.453,0.917,47.0,23644.0,522.0
2.577,8.398,0.629,0.912,47.1,23716.0,389.0
2.748,7.815,0.499,0.827,47.2,23736.0,575.0
3.311,8.273,1.199,0.896,47.7,24030.0,509.0
2.206,8.118,0.573,0.847,47.8,24064.0,457.0
2.898,7.604,0.223,0.81,47.9,24100.0,1077.0
3.369,8.58,0.701,0.944,47.9,24132.0,376.0
2.551,7.764,0.349,0.81,48.0,24159.0,790.0
3.834,8.384,0.47,0.894,48.0,24176.0,502.0
3.065,8.523,0.334,0.9,48.2,24254.0,709.0
3.101,8.063,0.719,0.843,48.2,24274.0,434.0
2.365,9.657,0.226,0.978,48.4,24371.0,911.0
3.142,9.165,0.208,0.967,48.5,24403.0,1006.0
3.603,8.606,0.577,0.952,48.6,24482.0,397.0
2.125,8.731,0.828,0.991,48.8,24583.0,393.0
2.089,8.514,0.8,0.949,49.3,24801.0,397.0
3.869,8.731,0.757,0.992,49.3,24823.0,385.0
3.6,8.49,0.848,0.951,49.4,24886.0,417.0
3.68,8.745,0.675,0.999,50.1,25196.0,374.0
3.611,7.874,0.241,0.862,50.2,25276.0,993.0
3.881,8.48,0.742,0.931,50.5,25401.0,404.0
2.947,8.339,0.473,0.921,50.5,25406.0,496.0
3.759,7.715,0.203,0.847,50.6,25481.0,1100.0
2.996,8.85,0.51,0.983,50.6,25482.0,405.0
3.789,7.966,0.695,0.866,50.7,25510.0,463.0
2.067,8.424,1.012,0.942,50.8,25580.0,464.0
2.772,7.983,0.667,0.875,50.9,25618.0,456.0
3.359,7.968,0.61,0.835,51.1,25727.0,482.0
3.128,8.464,0.219,0.902,51.2,25753.0,1018.0
3.899,8.205,0.761,0.891,51.4,25862.0,433.0
2.521,8.165,1.01,0.892,52.0,26196.0,479.0
3.816,8.173,0.825,0.898,52.2,26293.0,445.0
2.443,7.903,1.182,0.841,52.2,26299.0,534.0
2.136,8.339,0.398,0.891,52.4,26352.0,599.0
3.195,8.787,0.253,0.949,52.4,26382.0,898.0
2.3,7.628,0.728,0.816,52.4,26399.0,519.0
2.949,7.626,1.189,0.826,52.5,26421.0,578.0
3.313,8.404,0.838,0.939,52.5,26431.0,431.0
2.774,8.227,0.563,0.909,52.7,26534.0,448.0
2.417,8.169,0.749,0.889,53.1,26750.0,430.0
3.342,7.869,1.033,0.87,53.5,26922.0,514.0
2.071,8.368,0.85,0.941,53.8,27077.0,437.0
2.748,8.104,1.118,0.895,53.8,27100.0,515.0
3.597,8.632,0.648,0.976,54.2,27288.0,401.0
2.726,8.42,0.619,0.937,54.2,27299.0,415.0
3.596,8.169,0.369,0.912,54.2,27301.0,692.0
2.206,8.622,0.679,0.981,54.6,27476.0,392.0
2.426,7.358,0.282,0.826,54.6,27502.0,978.0
2.624,8.333,0.883,0.949,54.7,27556.0,452.0
3.655,7.514,0.244,0.838,55.7,28013.0,1028.0
2.397,7.831,0.394,0.846,55.7,28026.0,700.0
2.515,8.075,0.776,0.888,56.0,28173.0,453.0
2.118,7.414,0.377,0.833,56.0,28187.0,802.0
2.005,8.773,0.425,0.999,56.0,28210.0,507.0
3.108,8.329,0.61,0.926,57.0,28681.0,440.0
