cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.988,9.918,1.092,0.805,1.8,969.0,498.0
2.794,9.869,0.941,0.819,3.9,2075.0,442.0
2.83,9.804,1.008,0.803,4.9,2602.0,466.0
2.771,9.933,0.695,0.818,5.1,2708.0,315.0
2.996,9.715,1.035,0.809,6.8,3577.0,474.0
3.451,9.958,0.994,0.873,7.5,3980.0,435.0
2.938,9.702,0.951,0.826,7.6,4014.0,439.0
2.177,9.98,0.877,0.879,8.0,4236.0,382.0
2.424,9.895,0.988,0.85,9.1,4792.0,432.0
3.033,9.895,0.886,0.841,9.9,5230.0,385.0
3.131,9.527,1.198,0.83,10.3,5465.0,523.0
2.401,9.681,0.714,0.813,10.3,5470.0,320.0
2.135,9.668,0.712,0.82,10.7,5648.0,319.0
2.081,9.917,0.7,0.853,11.6,6162.0,276.0
2.812,9.634,0.672,0.802,11.9,6286.0,291.0
2.921,9.71,1.086,0.838,12.9,6808.0,466.0
3.898,9.976,0.934,0.921,13.5,7141.0,414.0
2.094,9.681,1.074,0.835,13.7,7223.0,462.0
3.51,9.876,0.34,0.826,14.1,7462.0,509.0
2.229,9.935,0.917,0.893,14.7,7789.0,405.0
2.662,9.63,0.968,0.878,15.5,8219.0,418.0
3.637,9.65,0.408,0.822,16.0,8470.0,398.0
3.143,9.284,1.033,0.819,16.8,8892.0,466.0
3.355,9.381,0.716,0.825,16.9,8920.0,323.0
3.967,9.418,0.598,0.806,17.2,9078.0,296.0
3.455,9.832,0.499,0.835,17.2,9087.0,226.0
3.932,9.699,0.297,0.802,17.3,9164.0,639.0
2.538,9.295,0.892,0.801,17.4,9195.0,403.0
2.206,9.359,0.724,0.822,17.4,9195.0,325.0
3.342,9.749,0.302,0.808,17.6,9318.0,615.0
3.121,9.991,0.58,0.88,18.3,9688.0,191.0
3.948,9.889,0.65,0.898,19.1,10086.0,237.0
2.109,9.168,1.126,0.812,19.2,10137.0,498.0
3.963,9.224,0.841,0.816,19.3,10192.0,384.0
3.531,9.291,0.632,0.819,19.7,10421.0,312.0
2.244,9.767,0.79,0.894,20.2,10697.0,330.0
2.907,9.818,0.408,0.86,20.3,10716.0,345.0
2.561,9.611,0.32,0.804,20.3,10749.0,586.0
2.967,9.727,0.844,0.89,20.6,10891.0,364.0
2.85,9.356,0.482,0.825,20.7,10977.0,328.0
2.572,9.928,0.539,0.919,20.9,11045.0,191.0
3.508,9.133,0.849,0.812,21.4,11324.0,391.0
3.205,9.832,0.352,0.837,21.6,11429.0,473.0
2.855,9.582,1.171,0.892,22.0,11644.0,505.0
2.688,9.524,0.291,0.823,22.5,11887.0,673.0
2.476,9.888,0.864,0.945,22.5,11910.0,386.0
2.841,9.846,0.328,0.862,22.7,11997.0,527.0
2.905,9.05,0.94,0.803,22.9,12095.0,433.0
2.819,9.591,0.21,0.825,24.1,12733.0,913.0
2.528,9.554,0.94,0.915,24.1,12768.0,414.0
2.231,9.267,0.404,0.814,24.3,12875.0,454.0
2.126,9.828,0.817,0.971,24.6,13026.0,361.0
3.069,9.953,1.073,0.982,25.0,13215.0,504.0
3.362,9.8,0.468,0.883,25.2,13345.0,241.0
3.29,9.459,1.132,0.897,25.4,13439.0,492.0
2.58,9.705,1.106,0.956,25.4,13459.0,495.0
2.177,8.9,1.04,0.822,26.0,13768.0,480.0
2.824,9.467,0.968,0.892,26.2,13840.0,431.0
3.53,9.399,0.493,0.853,26.3,13925.0,302.0
3.241,9.679,0.283,0.853,26.5,14014.0,675.0
2.252,8.868,1.024,0.833,26.9,14220.0,476.0
3.711,9.119,0.248,0.832,27.0,14266.0,816.0
2.89,9.151,0.344,0.825,27.0,14289.0,593.0
3.516,8.862,0.959,0.805,27.3,14421.0,453.0
2.116,9.809,0.415,0.922,27.4,14484.0,309.0
3.624,9.534,0.635,0.922,27.8,14729.0,273.0
2.421,9.223,0.622,0.847,28.7,15191.0,297.0
3.457,9.918,0.786,0.984,28.7,15208.0,360.0
2.023,8.771,1.171,0.802,28.7,15208.0,527.0
2.509,9.35,1.04,0.892,28.8,15224.0,465.0
2.219,9.678,0.447,0.91,29.0,15367.0,279.0
3.92,9.227,0.526,0.847,29.2,15440.0,316.0
3.08,9.789,1.035,0.982,29.8,15765.0,488.0
3.768,9.025,1.091,0.849,29.9,15839.0,481.0
2.781,8.801,0.715,0.806,30.1,15940.0,380.0
2.162,9.509,0.301,0.878,30.2,15993.0,638.0
2.371,9.36,0.384,0.87,30.2,15998.0,461.0
2.03,9.3,1.009,0.894,30.3,16015.0,456.0
3.013,9.853,0.286,0.924,30.9,16362.0,640.0
3.83,9.528,0.926,0.944,31.4,16618.0,431.0
2.904,9.085,0.651,0.858,31.5,16676.0,320.0
3.377,9.613,0.697,0.955,31.7,16763.0,314.0
3.823,9.225,1.095,0.912,31.8,16805.0,492.0
3.901,9.844,0.688,0.991,32.1,16999.0,314.0
3.124,9.018,0.726,0.871,32.3,17116.0,344.0
3.213,9.453,0.491,0.899,32.4,17136.0,281.0
3.156,9.436,1.146,0.93,32.6,17233.0,519.0
3.299,8.763,0.407,0.832,32.8,17339.0,537.0
2.517,8.982,0.738,0.877,33.2,17581.0,351.0
2.694,9.779,0.444,0.957,33.4,17679.0,281.0
3.498,8.573,0.999,0.807,34.2,18084.0,486.0
2.547,8.623,0.735,0.804,34.2,18086.0,404.0
2.833,8.556,1.114,0.826,34.3,18131.0,523.0
3.627,9.006,0.487,0.848,34.6,18321.0,377.0
3.636,9.842,0.325,0.955,35.2,18629.0,517.0
2.402,9.597,0.973,0.995,35.7,18881.0,469.0
2.889,9.055,0.378,0.86,35.7,18891.0,524.0
3.774,8.503,1.06,0.811,35.7,18894.0,511.0
2.078,8.775,1.175,0.859,36.2,19148.0,525.0
3.221,8.51,0.25,0.804,36.6,19385.0,884.0
2.34,8.773,1.048,0.851,36.7,19419.0,481.0
2.3,9.207,0.593,0.913,36.7,19421.0,304.0
3.578,9.128,0.725,0.884,36.8,19477.0,357.0
2.702,8.467,0.987,0.828,36.9,19507.0,488.0
2.433,9.457,0.614,0.94,37.2,19668.0,306.0
2.955,8.518,0.262,0.832,37.3,19746.0,852.0
3.257,8.846,0.537,0.853,38.0,20087.0,372.0
3.828,8.859,0.361,0.837,38.0,20108.0,592.0
3.606,9.782,0.278,0.937,38.1,20174.0,656.0
3.508,9.335,0.758,0.953,38.2,20207.0,371.0
3.278,9.176,0.507,0.917,38.3,20276.0,324.0
3.798,9.249,0.987,0.957,38.6,20439.0,473.0
3.884,8.793,0.289,0.878,38.8,20514.0,756.0
3.062,8.395,0.948,0.826,38.8,20517.0,483.0
2.092,8.982,1.009,0.92,38.8,20518.0,477.0
3.106,9.665,0.345,0.96,38.8,20542.0,479.0
2.544,9.471,0.266,0.914,38.9,20576.0,738.0
2.48,9.066,0.215,0.86,38.9,20597.0,933.0
3.921,8.684,1.039,0.842,39.0,20628.0,486.0
2.722,9.301,0.76,0.954,39.2,20737.0,374.0
2.78,9.455,1.039,0.981,39.3,20781.0,505.0
3.668,8.342,0.339,0.818,39.3,20787.0,718.0
3.784,9.245,0.826,0.933,39.9,21116.0,405.0
3.75,8.344,0.882,0.829,40.1,21217.0,479.0
3.653,8.333,0.973,0.804,40.2,21251.0,497.0
3.653,8.331,0.886,0.821,40.4,21383.0,481.0
2.041,8.988,0.221,0.843,40.7,21530.0,920.0
2.64,9.404,0.99,0.987,41.1,21738.0,487.0
3.727,8.695,0.358,0.861,41.2,21805.0,618.0
2.574,8.34,0.382,0.825,41.6,22001.0,632.0
3.399,8.594,0.964,0.856,41.6,22028.0,464.0
2.54,8.853,1.104,0.919,41.9,22147.0,519.0
3.524,9.156,0.893,0.927,41.9,22150.0,441.0
3.548,8.58,0.922,0.855,42.1,22296.0,455.0
2.863,9.23,0.665,0.939,42.2,22317.0,355.0
3.973,8.51,0.258,0.865,42.2,22319.0,855.0
2.567,8.291,0.45,0.826,42.6,22548.0,551.0
3.569,9.263,0.551,0.949,42.6,22558.0,332.0
3.886,9.021,0.234,0.888,42.7,22585.0,864.0
3.773,8.142,0.363,0.819,42.8,22653.0,707.0
3.858,9.236,0.557,0.951,43.0,22741.0,340.0
2.864,9.111,0.902,0.933,43.1,22800.0,447.0
3.881,9.674,0.375,0.997,43.3,22904.0,445.0
3.84,9.079,0.964,0.942,43.5,23016.0,475.0
3.316,8.177,0.43,0.817,43.9,23227.0,599.0
2.693,9.07,0.948,0.948,43.9,23249.0,469.0
3.65,8.403,0.222,0.846,44.1,23336.0,945.0
3.624,9.261,1.177,0.982,44.2,23375.0,567.0
3.822,8.507,0.373,0.878,44.5,23545.0,623.0
3.21,8.161,0.974,0.827,44.5,23559.0,523.0
2.393,8.609,0.387,0.837,44.8,23710.0,567.0
2.3,8.79,0.852,0.903,44.8,23714.0,439.0
2.406,9.237,0.485,0.934,45.0,23834.0,345.0
3.655,8.144,0.845,0.832,45.1,23846.0,505.0
3.253,7.741,0.211,0.815,45.2,23904.0,1030.0
3.04,8.132,0.453,0.825,45.3,23968.0,580.0
3.404,8.097,0.527,0.805,46.0,24337.0,535.0
3.822,8.722,0.87,0.919,46.4,24541.0,457.0
3.7,9.042,0.693,0.936,46.6,24634.0,395.0
3.393,8.846,0.398,0.913,46.6,24635.0,507.0
3.157,8.78,0.624,0.917,46.6,24645.0,384.0
3.118,8.753,0.718,0.894,46.6,24649.0,407.0
3.157,8.07,1.123,0.802,46.6,24664.0,563.0
3.237,8.842,0.43,0.893,46.7,24692.0,458.0
2.795,7.85,0.247,0.819,46.9,24809.0,960.0
3.047,8.382,0.938,0.838,47.3,25033.0,486.0
3.533,8.701,0.795,0.895,47.4,25068.0,439.0
2.24,8.063,0.764,0.816,47.4,25089.0,500.0
2.372,9.255,0.753,0.984,47.5,25157.0,409.0
3.94,8.914,1.085,0.944,47.6,25177.0,532.0
3.91,8.711,0.276,0.916,47.6,25198.0,782.0
2.448,9.098,0.511,0.945,47.9,25351.0,360.0
2.668,8.921,0.982,0.936,48.0,25373.0,493.0
2.546,8.93,0.24,0.909,48.1,25448.0,866.0
3.587,7.484,0.229,0.802,48.1,25455.0,1016.0
2.878,9.276,0.649,0.973,48.2,25525.0,376.0
2.563,8.878,0.293,0.884,48.3,25549.0,714.0
3.257,9.131,1.094,0.994,48.4,25635.0,545.0
3.8,9.139,1.046,0.994,48.5,25637.0,526.0
3.092,8.317,1.15,0.849,48.5,25649.0,549.0
2.779,8.362,0.74,0.868,48.5,25680.0,444.0
2.995,7.99,0.833,0.825,49.0,25924.0,526.0
2.936,8.984,0.612,0.932,49.2,26025.0,378.0
2.175,8.68,0.603,0.925,49.5,26205.0,394.0
3.204,9.09,1.12,0.981,49.5,26207.0,556.0
3.576,9.625,0.221,0.977,49.8,26354.0,845.0
2.385,8.962,0.616,0.948,49.9,26396.0,380.0
2.924,8.305,0.736,0.874,49.9,26416.0,454.0
3.449,8.243,0.349,0.847,49.9,26420.0,701.0
2.68,8.678,0.528,0.888,50.0,26478.0,404.0
2.934,8.269,0.92,0.863,50.3,26628.0,498.0
2.139,8.267,0.91,0.862,50.5,26699.0,494.0
2.814,8.547,1.031,0.914,50.6,26766.0,520.0
2.668,8.171,0.23,0.876,50.7,26809.0,964.0
3.417,9.048,0.326,0.946,50.7,26849.0,606.0
2.165,7.914,0.873,0.817,50.9,26942.0,544.0
2.875,8.632,0.54,0.924,50.9,26950.0,412.0
2.347,8.87,0.748,0.958,51.0,26992.0,430.0
3.479,8.517,1.082,0.89,51.2,27110.0,537.0
3.035,8.516,1.072,0.902,51.3,27155.0,534.0
3.274,8.23,0.43,0.867,51.3,27167.0,570.0
2.748,8.645,0.405,0.924,51.6,27309.0,519.0
3.821,8.206,0.528,0.879,51.7,27336.0,501.0
3.354,8.542,0.753,0.887,51.8,27423.0,449.0
2.798,7.862,0.625,0.83,52.0,27500.0,534.0
3.402,9.145,0.618,0.976,52.0,27532.0,389.0
3.203,9.137,0.641,0.992,52.0,27535.0,395.0
3.675,8.493,0.97,0.92,52.2,27645.0,514.0
3.105,7.515,0.284,0.823,52.3,27672.0,917.0
3.007,8.975,0.377,0.967,52.3,27698.0,523.0
2.474,8.587,0.494,0.888,52.6,27808.0,437.0
2.623,9.01,0.908,0.999,53.2,28136.0,489.0
2.896,7.809,0.729,0.832,53.4,28234.0,544.0
3.316,8.44,1.081,0.914,53.4,28263.0,547.0
3.403,7.782,0.649,0.827,53.5,28296.0,549.0
3.635,8.45,0.912,0.92,53.6,28365.0,505.0
3.208,8.711,1.032,0.962,53.7,28429.0,531.0
3.377,8.494,0.382,0.887,53.8,28469.0,588.0
3.94,7.634,0.471,0.804,53.8,28489.0,664.0
3.014,7.559,0.341,0.808,53.9,28544.0,815.0
2.609,8.45,0.818,0.892,54.1,28635.0,478.0
2.982,7.768,0.766,0.809,54.4,28764.0,556.0
2.284,8.122,0.859,0.864,54.4,28765.0,506.0
2.49,8.528,0.254,0.918,54.4,28810.0,859.0
2.944,8.397,1.137,0.921,54.5,28824.0,564.0
3.255,9.064,0.591,0.985,54.6,28888.0,395.0
3.202,7.546,0.375,0.832,54.8,28991.0,763.0
