2,10,50,80,120,dir
6.931,8.654,10.46,11.35,12.119,58.66
6.961,8.677,10.312,11.19,11.947,56.86
7.49,9.329,10.799,11.718,12.511,55.36
7.587,9.433,10.784,11.702,12.494,54.2
7.523,9.318,10.587,11.488,12.266,54.68
7.597,9.385,10.599,11.501,12.28,56.5
7.618,9.421,10.642,11.548,12.329,58.07
7.267,8.958,10.065,10.922,11.661,60.81
6.993,8.582,9.473,10.279,10.975,67.89
7.146,8.742,9.401,10.201,10.892,77.39
7.437,9.096,9.648,10.469,11.178,83.8
7.607,9.318,9.927,10.772,11.501,86.72
8.098,10.078,11.258,12.216,13.043,89.53
8.727,11.029,12.705,13.786,14.719,85.69
8.87,11.27,13.078,14.191,15.152,76.81
8.193,10.405,12.158,13.193,14.086,71.85
7.433,9.397,11.103,12.048,12.863,70.41
6.788,8.546,10.265,11.139,11.893,70.62
5.876,7.352,9.026,9.794,10.457,71.44
5.096,6.349,8.003,8.684,9.272,68.79
4.174,5.19,6.751,7.326,7.821,60.96
3.292,4.124,5.506,5.975,6.379,46.13
2.852,3.664,4.941,5.362,5.724,28.05
2.912,3.812,5.132,5.569,5.946,18.14
3.018,3.975,5.404,5.864,6.261,7.73
3.307,4.237,5.857,6.356,6.786,356.97
3.82,4.721,5.519,5.989,6.394,347.87
3.496,4.417,5.573,6.047,6.457,333.73
3.739,4.97,6.463,7.013,7.488,305.59
4.373,5.724,7.242,7.858,8.39,269.82
5.377,6.719,8.003,8.684,9.272,245.04
5.781,7.089,7.708,8.364,8.93,234.96
5.423,6.615,7.11,7.715,8.237,233.59
5.954,7.295,7.914,8.588,9.169,231.61
7.079,8.767,9.588,10.404,11.108,226.41
7.621,9.492,10.471,11.362,12.131,223.59
7.203,8.947,9.971,10.82,11.552,223.38
6.515,8.027,9.008,9.775,10.436,224.2
5.884,7.23,8.175,8.871,9.471,223.38
4.775,5.832,6.781,7.358,7.856,221.11
3.643,4.397,5.339,5.793,6.186,220.58
3.147,3.802,4.764,5.17,5.519,221.39
3.053,3.717,4.79,5.198,5.549,220.98
3.07,3.768,4.897,5.314,5.673,219.29
3.155,3.888,5.083,5.516,5.889,218.61
3.317,4.087,5.373,5.83,6.225,217.96
3.372,4.139,5.476,5.942,6.344,215.78
3.232,3.96,5.187,5.629,6.009,211.93
2.849,3.529,4.601,4.993,5.331,208.08
2.593,3.142,3.871,4.201,4.485,207.65
2.578,2.971,3.238,3.514,3.751,208.99
2.221,2.516,2.688,2.917,3.114,213.39
2.168,2.447,2.595,2.816,3.006,219.7
2.383,2.707,2.85,3.093,3.302,220.11
2.779,3.193,3.311,3.593,3.836,215.44
3.339,3.882,3.93,4.265,4.553,206.01
3.936,4.629,4.62,5.013,5.353,197.75
4.405,5.231,5.206,5.649,6.031,192.82
4.657,5.572,5.575,6.05,6.459,190.32
4.64,5.581,5.648,6.129,6.544,188.8
4.372,5.278,5.423,5.885,6.283,186.53
3.926,4.742,4.968,5.391,5.756,185.8
3.541,4.27,4.6,4.992,5.329,186.48
3.184,3.833,4.267,4.63,4.944,185.28
2.819,3.38,3.822,4.147,4.428,181.79
2.409,2.876,3.312,3.594,3.837,179.53
1.991,2.362,2.834,3.075,3.283,183.06
1.711,2.038,2.512,2.726,2.91,186.52
1.438,1.733,2.191,2.378,2.538,184.83
1.262,1.553,1.895,2.056,2.195,184.37
1.272,1.556,1.836,1.992,2.127,190.83
1.463,1.794,2.119,2.299,2.455,196.92
1.563,1.94,2.316,2.513,2.683,195.86
1.477,1.757,2.015,2.187,2.334,195.19
1.382,1.528,1.589,1.724,1.841,208.29
1.375,1.513,1.575,1.709,1.825,226.79
1.63,1.806,1.88,2.04,2.178,233.74
2.117,2.377,2.438,2.646,2.825,226.39
2.738,3.124,3.154,3.422,3.654,212.7
3.393,3.927,3.891,4.222,4.508,199.86
3.836,4.481,4.37,4.742,5.063,190.78
4.049,4.753,4.598,4.989,5.327,183.68
4.144,4.879,4.712,5.113,5.459,177.75
4.299,5.095,5.009,5.435,5.803,175.1
4.44,5.319,5.426,5.888,6.286,174.88
4.38,5.287,5.594,6.07,6.481,175.31
4.157,5.023,5.478,5.944,6.347,176.68
3.67,4.44,5.086,5.519,5.892,175.97
3.024,3.643,4.283,4.648,4.962,170.35
2.457,2.943,3.491,3.788,4.045,163.2
2.085,2.486,2.97,3.223,3.441,157.19
1.712,2.049,2.49,2.702,2.885,147.57
1.321,1.614,1.989,2.158,2.304,126.52
1.096,1.35,1.72,1.866,1.993,97.99
0.934,1.184,1.522,1.652,1.763,79.17
0.728,0.962,1.205,1.308,1.396,74.65
0.63,0.843,1.05,1.139,1.216,79.03
0.819,1.0,1.151,1.249,1.333,83.01
1.137,1.287,1.347,1.462,1.561,84.12
1.397,1.569,1.626,1.764,1.884,81.94
1.661,1.863,1.912,2.075,2.215,84.85
2.01,2.263,2.276,2.47,2.637,91.9
2.399,2.723,2.689,2.918,3.115,99.17
2.872,3.29,3.192,3.464,3.698,107.38
3.362,3.884,3.71,4.026,4.298,114.36
3.903,4.564,4.373,4.745,5.066,120.31
4.339,5.131,5.006,5.432,5.8,123.0
4.616,5.51,5.502,5.97,6.374,122.71
4.674,5.614,5.74,6.229,6.65,120.1
4.599,5.548,5.837,6.334,6.762,116.8
4.516,5.475,5.957,6.464,6.902,113.21
4.431,5.402,6.111,6.631,7.08,108.75
4.448,5.429,6.32,6.858,7.322,103.06
4.445,5.428,6.465,7.015,7.49,97.56
4.394,5.371,6.515,7.07,7.548,92.7
4.402,5.39,6.641,7.206,7.694,89.22
4.465,5.477,6.818,7.398,7.899,87.36
4.525,5.56,6.954,7.546,8.057,85.64
4.631,5.706,7.116,7.722,8.244,83.74
4.709,5.81,7.215,7.829,8.359,81.95
4.779,5.905,7.341,7.966,8.505,80.24
5.051,6.225,7.445,8.079,8.625,78.01
5.499,6.746,7.666,8.319,8.882,75.67
5.685,6.94,7.769,8.43,9.001,74.58
5.869,7.145,7.953,8.63,9.214,75.0
6.1,7.433,8.238,8.939,9.544,75.97
6.356,7.762,8.57,9.3,9.929,77.73
6.518,7.969,8.725,9.468,10.108,79.8
6.57,8.032,8.694,9.434,10.072,80.97
6.637,8.12,8.713,9.455,10.095,83.26
6.652,8.146,8.7,9.441,10.079,84.84
6.614,8.113,8.691,9.431,10.069,85.58
6.669,8.21,8.899,9.657,10.31,86.11
6.842,8.467,9.345,10.14,10.827,85.6
7.023,8.755,9.888,10.73,11.456,84.52
7.034,8.805,10.171,11.037,11.784,82.57
7.049,8.832,10.29,11.166,11.922,79.48
6.973,8.734,10.252,11.125,11.878,76.11
6.844,8.566,10.164,11.029,11.776,72.71
6.82,8.55,10.274,11.149,11.903,70.07
6.696,8.404,10.206,11.075,11.824,68.38
6.526,8.199,10.065,10.922,11.661,68.38
6.487,8.162,10.124,10.986,11.729,69.48
6.641,8.373,10.426,11.313,12.079,70.47
6.82,8.614,10.707,11.618,12.405,69.88
6.85,8.623,10.392,11.277,12.04,67.26
7.109,8.888,10.339,11.219,11.978,61.03
6.99,8.715,10.04,10.895,11.632,55.18
6.384,7.937,9.277,10.067,10.748,53.01
5.802,7.268,8.946,9.708,10.364,49.84
4.732,6.103,8.396,9.111,9.727,46.04
3.941,5.218,7.465,8.1,8.649,50.86
4.064,5.191,6.83,7.411,7.913,61.83
4.249,5.233,6.308,6.845,7.308,68.75
3.932,4.731,5.251,5.698,6.084,82.67
3.86,4.607,4.757,5.162,5.511,119.98
4.228,5.262,5.703,6.188,6.607,163.07
4.952,6.345,7.238,7.854,8.386,193.01
5.127,6.517,7.56,8.204,8.759,206.97
4.714,5.926,6.877,7.462,7.967,210.48
4.847,6.049,6.969,7.562,8.074,218.31
5.499,6.886,8.005,8.686,9.274,225.9
6.006,7.543,8.848,9.601,10.251,228.84
6.177,7.748,9.158,9.938,10.61,228.94
6.157,7.709,9.172,9.953,10.626,228.61
6.049,7.554,8.978,9.742,10.402,227.7
5.934,7.395,8.769,9.515,10.159,227.19
5.721,7.112,8.448,9.167,9.787,226.91
5.694,7.068,8.43,9.148,9.767,228.12
6.093,7.575,8.977,9.741,10.4,229.96
6.391,7.939,9.212,9.996,10.673,229.52
6.161,7.594,8.697,9.437,10.076,229.92
5.915,7.231,8.176,8.872,9.472,231.73
5.952,7.251,8.109,8.799,9.395,232.54
6.318,7.698,8.502,9.226,9.85,230.84
6.831,8.347,9.086,9.859,10.527,226.77
7.114,8.703,9.349,10.145,10.831,222.75
7.056,8.631,9.196,9.979,10.654,219.56
6.81,8.325,8.874,9.629,10.281,216.13
6.519,7.951,8.529,9.255,9.881,213.61
6.381,7.78,8.44,9.158,9.778,211.33
6.342,7.751,8.532,9.258,9.885,210.35
6.068,7.436,8.321,9.029,9.64,209.04
5.384,6.572,7.444,8.078,8.624,205.28
4.626,5.589,6.312,6.849,7.313,200.91
4.082,4.891,5.53,6.001,6.407,198.75
3.578,4.268,4.989,5.414,5.78,197.82
3.232,3.842,4.424,4.801,5.125,196.0
2.441,2.912,3.688,4.002,4.273,190.19
2.066,2.458,3.103,3.367,3.595,187.15
1.891,2.277,2.914,3.162,3.376,191.65
1.798,2.209,2.759,2.994,3.196,194.26
1.775,2.205,2.708,2.939,3.137,195.49
1.747,2.123,2.563,2.781,2.969,195.72
2.035,2.305,2.474,2.685,2.866,196.62
2.206,2.485,2.62,2.843,3.035,198.99
2.429,2.739,2.832,3.073,3.281,198.06
2.599,2.936,2.948,3.199,3.415,191.62
2.817,3.194,3.097,3.361,3.588,182.58
3.237,3.701,3.49,3.787,4.043,171.71
3.782,4.369,4.082,4.429,4.729,163.57
4.388,5.135,4.839,5.251,5.606,156.81
4.778,5.649,5.377,5.835,6.23,148.37
4.96,5.925,5.78,6.272,6.696,139.5
5.05,6.086,6.147,6.67,7.122,130.92
4.92,5.956,6.24,6.771,7.229,121.92
4.74,5.745,6.25,6.782,7.241,113.82
4.5,5.467,6.221,6.751,7.207,107.65
4.306,5.226,6.095,6.614,7.061,103.12
3.943,4.774,5.747,6.236,6.658,98.99
3.559,4.3,5.423,5.885,6.283,94.15
3.364,4.082,5.368,5.825,6.219,88.04
3.341,4.09,5.428,5.89,6.289,81.11
3.344,4.116,5.49,5.957,6.36,74.25
3.344,4.142,5.544,6.016,6.423,67.66
3.329,4.144,5.558,6.031,6.439,60.51
3.375,4.183,5.618,6.096,6.509,51.94
3.842,4.67,5.801,6.295,6.721,43.27
4.647,5.59,6.341,6.881,7.346,38.33
4.871,5.838,6.533,7.089,7.569,34.34
4.678,5.574,6.25,6.782,7.241,31.23
4.148,4.92,5.59,6.066,6.476,26.75
3.03,3.655,4.478,4.859,5.188,20.22
1.53,1.974,2.975,3.228,3.447,9.51
0.846,1.013,1.532,1.662,1.775,321.81
1.585,2.047,2.521,2.736,2.921,246.51
3.175,4.048,4.666,5.063,5.406,223.52
4.934,6.14,6.738,7.312,7.806,217.51
5.352,6.652,7.301,7.922,8.459,221.03
5.048,6.339,7.314,7.937,8.474,233.55
5.332,6.796,8.304,9.011,9.621,250.57
6.109,7.804,9.943,10.789,11.52,264.18
7.368,9.369,11.672,12.666,13.523,272.14
8.011,10.139,12.413,13.47,14.381,273.98
8.128,10.24,12.363,13.415,14.323,271.45
8.245,10.385,12.561,13.63,14.553,269.47
8.444,10.655,12.991,14.097,15.051,270.35
8.489,10.716,13.066,14.178,15.138,270.36
8.648,10.924,13.28,14.41,15.386,268.02
8.769,11.082,13.447,14.592,15.579,264.15
8.635,10.893,13.214,14.339,15.309,260.64
8.447,10.631,12.78,13.868,14.806,259.75
8.66,10.89,13.024,14.133,15.089,256.67
8.674,10.891,12.77,13.857,14.795,251.89
8.454,10.556,12.212,13.252,14.148,249.91
8.313,10.335,11.862,12.872,13.743,248.03
8.134,10.067,11.469,12.445,13.287,245.95
7.986,9.854,11.143,12.092,12.91,243.6
7.751,9.532,10.682,11.591,12.376,241.72
7.675,9.427,10.487,11.38,12.15,238.66
7.67,9.43,10.448,11.337,12.105,235.49
7.539,9.276,10.279,11.154,11.909,233.41
7.323,9.008,10.014,10.866,11.602,231.27
7.216,8.9,9.974,10.823,11.555,228.02
6.943,8.577,9.744,10.573,11.289,225.18
6.426,7.911,9.098,9.872,10.541,220.99
6.067,7.421,8.47,9.191,9.813,215.56
5.637,6.851,7.765,8.426,8.996,209.02
5.263,6.365,7.204,7.817,8.346,202.83
4.866,5.857,6.651,7.217,7.706,196.77
4.354,5.217,5.966,6.474,6.912,188.79
3.892,4.65,5.498,5.966,6.37,179.0
3.47,4.178,5.042,5.471,5.841,168.23
2.93,3.523,4.426,4.803,5.128,156.76
2.644,3.264,4.124,4.475,4.778,145.79
2.723,3.262,3.993,4.333,4.626,135.27
2.999,3.469,3.763,4.083,4.36,123.72
2.91,3.324,3.523,3.823,4.082,114.39
2.822,3.199,3.311,3.593,3.836,110.29
2.876,3.256,3.258,3.535,3.775,110.58
3.031,3.438,3.319,3.602,3.845,111.45
3.397,3.872,3.675,3.988,4.258,111.47
3.871,4.442,4.192,4.549,4.857,110.4
4.303,4.977,4.688,5.087,5.431,110.2
4.676,5.455,5.16,5.599,5.978,111.09
5.071,5.974,5.739,6.228,6.649,110.09
5.531,6.601,6.582,7.142,7.626,103.91
5.938,7.186,7.505,8.144,8.695,96.46
6.062,7.421,8.092,8.781,9.375,91.63
5.991,7.371,8.347,9.058,9.67,87.98
5.978,7.357,8.47,9.191,9.813,83.99
5.949,7.325,8.571,9.301,9.93,79.88
5.823,7.169,8.505,9.229,9.854,75.24
5.724,7.049,8.508,9.232,9.857,70.07
5.656,6.972,8.523,9.249,9.874,64.82
