wind_speed,direction
5.681,170.727
5.333,172.569
5.239,171.347
4.965,167.471
6.256,161.896
6.362,162.525
5.818,156.949
5.728,157.38
6.773,159.444
5.826,159.717
5.672,152.403
4.884,143.13
4.492,138.122
4.127,135.0
4.318,137.203
4.676,130.156
4.398,131.76
4.823,122.905
4.224,159.075
3.551,154.359
3.581,146.31
3.491,127.694
4.171,136.169
3.48,143.13
5.181,109.29
5.853,118.217
4.089,152.7
4.96,152.241
5.344,148.392
5.753,151.294
5.335,151.074
4.735,143.746
5.521,161.966
4.832,168.408
4.482,170.538
5.93,167.735
5.521,187.943
5.614,191.822
5.833,197.65
11.05,177.455
10.182,170.991
10.007,167.164
10.07,159.362
10.869,157.23
9.885,149.899
10.099,144.544
11.784,138.417
11.442,135.0
10.86,130.815
10.708,129.806
10.903,125.69
11.735,122.845
12.172,118.142
12.381,111.909
12.506,104.452
13.472,100.685
13.846,97.253
14.139,92.533
14.66,86.088
15.2,78.136
15.127,75.16
14.995,73.529
15.285,74.827
15.687,77.074
16.816,73.586
17.16,69.052
15.655,68.369
15.463,68.629
15.406,64.058
14.476,63.877
12.504,53.93
11.89,56.976
14.084,69.503
14.603,77.112
13.222,66.037
11.298,74.141
14.296,74.249
13.382,76.178
15.009,64.058
14.756,65.358
16.453,69.296
16.757,73.54
17.272,72.35
17.242,76.457
15.972,75.964
16.01,77.609
16.008,74.931
15.886,75.756
16.473,71.948
16.92,71.175
13.708,68.017
14.921,63.435
15.06,59.953
11.888,48.668
14.225,62.819
16.922,66.695
12.272,39.094
11.705,42.158
12.848,41.448
12.883,48.136
10.398,54.958
10.537,51.613
9.678,49.268
10.195,35.042
10.057,9.689
10.46,344.148
11.542,265.601
13.262,264.536
11.418,271.772
13.14,274.236
16.404,287.228
16.306,281.842
16.99,282.325
17.183,282.529
17.784,283.478
16.944,278.063
15.234,276.34
17.262,272.237
18.37,265.41
19.03,261.545
19.867,261.027
20.337,258.551
20.797,257.32
19.119,255.693
18.263,257.386
17.858,257.036
16.563,257.137
18.534,253.946
16.848,248.595
15.402,249.167
16.879,250.089
16.856,247.023
16.63,247.714
16.899,240.903
16.74,243.435
14.916,241.928
15.07,240.018
15.045,239.439
17.113,238.393
17.975,229.441
16.156,230.864
14.918,226.695
13.823,231.18
13.007,239.315
14.428,234.806
14.337,231.028
13.412,233.022
14.222,228.861
14.239,232.431
14.101,229.674
14.57,224.657
14.822,220.865
12.489,221.682
13.148,223.847
11.966,215.676
11.237,211.938
11.28,220.946
10.148,221.987
9.984,209.124
10.728,202.416
9.222,207.255
8.195,210.069
8.189,213.207
7.871,207.378
7.409,200.556
7.045,199.058
6.892,195.803
5.937,201.801
6.421,199.134
5.488,194.349
5.784,196.113
6.494,186.582
5.996,189.462
5.087,182.793
4.386,197.928
4.335,194.826
4.807,190.437
4.302,191.634
4.009,188.881
5.081,198.435
5.226,185.44
4.36,181.637
2.418,171.027
2.94,149.036
1.415,143.13
2.284,143.746
3.83,170.538
3.623,175.914
2.297,160.56
1.925,176.424
2.599,152.241
3.469,155.225
4.936,168.408
5.094,171.674
7.231,162.181
6.64,157.218
6.377,149.036
5.928,143.366
6.735,126.87
6.258,113.499
7.381,107.819
7.397,109.654
7.158,96.009
7.306,109.983
7.23,91.975
7.077,97.125
7.482,94.764
6.965,103.299
5.732,102.529
6.515,103.24
6.479,93.302
6.44,97.815
7.117,94.014
6.329,88.877
7.722,88.152
7.973,91.79
8.34,88.29
9.053,88.431
8.694,85.914
9.055,86.082
9.655,81.142
9.992,81.469
10.171,78.147
11.07,75.027
11.564,75.664
12.36,75.403
12.788,74.745
12.565,76.239
13.013,81.793
14.097,77.196
14.312,73.301
14.389,66.541
14.907,58.298
14.341,57.414
14.256,56.31
13.347,51.667
11.955,45.818
10.306,45.0
9.367,39.019
10.008,30.101
9.795,31.087
7.685,24.145
5.542,34.695
5.146,56.659
5.205,71.565
6.023,87.879
9.582,76.122
10.08,74.31
10.196,69.007
10.372,69.007
10.337,67.62
10.923,65.308
9.505,59.995
9.062,62.447
8.799,66.801
10.092,67.329
9.266,66.413
9.364,58.536
8.937,57.171
8.898,53.915
7.886,49.97
7.972,37.568
7.558,28.61
6.013,21.801
3.352,62.525
4.106,85.364
5.11,92.386
4.957,104.349
6.475,97.001
8.602,90.744
9.833,89.341
11.183,83.596
12.594,79.508
13.387,76.931
13.596,76.2
14.62,77.074
15.501,73.811
15.563,72.272
14.639,71.259
14.766,72.474
15.225,69.063
14.655,68.824
15.146,63.853
14.273,60.751
12.833,57.529
11.206,52.624
10.666,43.122
10.248,39.629
8.528,46.169
9.739,64.722
12.463,72.104
13.292,76.967
14.508,76.192
15.542,72.121
15.123,77.039
15.945,74.634
16.818,74.886
16.939,73.187
17.789,69.756
18.935,66.56
19.66,65.376
19.936,61.157
19.52,55.996
18.146,46.091
17.192,33.69
15.773,25.964
15.375,28.752
14.52,22.765
12.884,15.068
10.342,15.751
9.081,21.501
8.143,38.107
7.22,52.374
6.453,77.574
8.536,67.913
7.594,64.156
6.805,71.301
10.078,74.694
10.58,62.892
11.97,60.001
12.758,53.427
13.97,44.676
13.8,41.009
14.055,36.682
13.666,25.694
14.266,16.417
12.89,352.333
13.404,344.529
12.96,342.044
13.136,346.584
11.185,347.863
11.203,355.084
9.761,347.062
7.461,339.102
6.667,321.843
5.571,290.556
5.02,238.815
12.407,250.478
14.241,241.049
11.95,235.993
12.839,238.431
12.674,230.343
11.386,235.109
12.108,237.483
11.794,240.884
11.893,233.509
11.267,233.509
10.374,235.713
