wind_speed,direction
6.198,157.557
6.568,157.797
6.164,157.557
6.082,153.435
6.191,149.826
6.656,141.843
4.861,136.042
4.822,117.897
5.273,115.346
5.664,112.036
6.731,105.068
6.227,99.273
6.418,87.754
5.193,88.603
5.73,50.356
6.235,64.983
6.574,63.925
6.925,62.969
5.796,41.424
5.543,35.538
6.431,51.34
5.658,53.13
5.334,73.686
5.731,83.927
6.51,83.541
7.638,83.758
7.201,102.095
7.03,106.798
6.843,105.068
5.965,102.265
6.941,87.955
5.827,100.305
5.899,104.036
5.416,95.572
5.835,84.92
6.152,73.072
5.898,57.724
5.47,57.848
5.11,55.491
4.878,53.746
3.859,47.726
1.653,34.992
0.865,158.199
2.253,183.366
4.51,172.093
6.088,177.663
5.77,187.431
6.147,175.333
5.706,159.59
5.427,159.905
5.965,160.427
5.906,158.875
5.329,153.435
5.266,161.996
4.553,155.556
4.523,162.072
5.578,165.651
5.513,141.546
5.609,121.185
5.985,93.652
5.145,105.751
5.7,106.821
5.152,104.381
5.049,106.144
4.964,97.306
5.052,108.886
4.515,104.036
3.398,111.801
2.667,79.216
2.199,103.24
4.064,164.291
4.778,166.675
5.364,141.546
5.194,131.055
5.372,146.31
5.36,149.931
4.058,103.134
5.338,80.538
5.507,78.959
4.899,74.745
4.777,64.179
5.305,58.782
4.803,46.219
4.891,41.009
4.6,38.367
4.734,36.87
4.675,39.805
5.902,34.16
4.751,34.216
3.665,4.97
4.546,17.65
4.914,327.995
5.88,275.195
6.738,276.34
7.923,272.936
9.98,272.545
10.42,275.08
12.385,274.236
15.68,252.16
15.557,252.536
15.53,251.565
15.152,251.565
17.81,244.016
15.531,237.381
15.402,222.306
13.145,222.647
12.051,218.191
12.99,220.301
12.747,210.094
10.099,209.745
10.481,199.516
9.557,207.235
9.729,204.261
9.682,191.165
6.315,202.011
7.581,207.408
6.96,194.534
6.212,195.154
4.538,195.945
4.312,173.29
2.86,189.866
6.114,189.462
6.649,183.24
5.218,182.726
4.392,173.48
3.518,169.875
3.218,186.582
3.649,183.945
3.314,155.376
3.42,151.557
3.965,174.472
1.162,168.69
2.381,90.0
1.404,109.983
1.336,149.036
0.583,45.0
1.104,345.964
1.541,4.764
1.916,288.435
0.569,315.0
1.345,336.038
3.788,251.565
3.298,228.18
5.512,203.026
5.314,218.234
5.992,208.706
6.694,203.199
7.37,203.07
7.336,199.058
6.327,199.502
6.155,196.587
5.244,192.381
6.348,207.072
5.077,201.541
5.769,190.081
5.104,188.531
4.328,190.008
3.626,195.945
4.174,193.627
6.876,201.413
6.291,203.499
5.654,199.231
6.771,199.44
4.009,197.879
4.083,201.161
5.748,183.814
5.016,190.176
5.315,181.364
6.725,184.316
6.562,182.203
5.69,171.158
6.075,161.94
6.385,149.421
5.86,144.605
4.277,119.539
4.317,129.174
5.294,76.607
4.777,101.889
3.299,67.068
6.168,112.443
5.787,62.354
5.088,68.962
5.695,58.392
6.394,65.924
6.225,63.946
6.175,64.983
5.668,61.783
4.805,64.093
4.498,48.366
4.635,66.194
6.328,82.03
6.64,86.76
7.24,84.094
7.629,90.939
8.26,101.482
8.447,111.161
8.257,98.881
7.85,96.546
6.69,106.699
5.515,106.699
5.052,108.435
5.783,108.435
5.526,113.385
5.023,101.31
4.957,96.34
3.878,100.885
3.786,105.068
3.714,119.476
3.316,120.964
3.093,127.405
2.021,116.565
1.886,147.529
1.981,180.0
2.895,196.699
3.188,205.463
3.957,211.329
5.753,219.611
6.766,226.848
8.331,222.709
7.926,233.366
7.637,241.189
8.363,245.556
7.76,257.905
6.858,246.371
6.064,270.0
6.642,276.34
7.666,289.799
8.421,300.257
9.325,284.47
8.786,225.0
8.842,227.911
10.199,230.965
8.522,242.819
8.412,228.576
9.321,233.616
10.056,239.036
11.466,252.121
8.763,236.612
9.782,254.827
10.5,247.249
7.538,258.69
7.596,251.2
9.384,243.435
10.232,235.84
11.361,241.449
10.505,232.667
11.22,237.848
10.48,245.807
10.787,248.86
10.661,250.88
11.425,242.549
10.246,248.062
8.979,256.171
5.662,321.766
5.906,308.66
6.64,296.054
6.136,297.121
7.044,307.776
7.872,297.44
7.939,302.619
8.206,293.318
8.875,285.832
10.649,265.914
11.345,251.162
12.983,250.159
12.37,251.012
13.122,245.647
12.051,245.855
12.039,241.821
11.552,238.393
10.488,239.394
9.524,234.197
8.441,228.013
7.721,204.905
6.232,218.48
4.962,220.914
5.445,238.134
3.776,235.784
4.712,201.801
3.509,180.0
1.974,153.435
1.027,82.875
1.132,6.34
2.537,20.225
3.307,37.304
3.227,35.538
2.42,55.491
5.496,164.055
3.759,111.448
5.627,92.545
6.993,92.045
7.964,89.105
8.236,93.468
9.493,89.246
11.746,79.641
11.773,77.735
10.77,77.255
9.906,73.162
9.968,74.055
9.952,69.528
11.146,67.724
10.152,64.687
9.977,65.026
9.942,63.435
9.944,61.844
10.21,61.887
9.067,61.327
9.278,62.063
8.629,61.587
9.13,74.055
10.008,82.786
10.575,88.636
11.949,91.809
12.43,92.314
12.888,91.668
14.243,90.0
15.371,87.672
15.502,87.23
16.04,77.905
15.634,78.064
15.229,75.85
15.236,72.007
14.835,70.507
14.396,66.737
14.4,69.386
13.712,69.928
13.33,69.88
12.821,67.89
12.601,64.44
13.033,65.872
12.997,68.097
12.56,67.249
12.771,69.969
13.883,74.835
14.358,75.358
14.385,74.876
14.321,73.78
13.877,72.707
13.746,72.553
13.732,78.996
13.512,78.275
13.839,73.202
11.332,64.29
10.153,62.475
9.422,57.588
8.845,68.199
9.049,67.751
9.415,67.62
10.841,72.646
9.584,59.574
7.719,59.886
8.121,64.699
8.99,55.84
8.438,54.567
9.923,55.864
8.955,50.648
8.809,57.529
8.673,60.945
9.887,61.26
9.158,57.319
6.381,52.253
7.324,64.654
7.594,61.189
7.805,61.783
7.342,59.036
7.508,53.673
5.641,72.897
7.695,64.799
8.097,56.31
7.08,66.801
5.3,80.134
2.717,174.289
5.754,45.0
4.708,34.695
4.23,11.31
4.47,180.0
5.737,278.13
4.187,48.814
4.71,326.31
4.878,318.367
4.941,273.814
2.891,220.236
4.529,225.0
3.439,197.354
4.677,205.346
6.141,227.726
6.998,231.072
6.937,231.072
7.377,223.877
6.992,218.928
7.046,207.979
7.424,205.408
8.292,204.076
8.578,201.038
9.585,206.565
8.426,203.334
8.157,208.856
6.749,206.003
8.203,207.474
8.692,204.52
8.397,205.346
6.687,205.56
9.587,182.322
8.938,182.454
9.09,191.31
10.14,185.001
9.411,189.211
8.286,180.868
8.36,172.235
9.263,180.774
8.429,174.036
8.149,175.601
7.607,170.538
7.919,158.703
7.124,164.745
5.692,151.189
6.515,147.529
6.291,148.841
5.772,125.395
5.351,135.939
5.398,111.801
5.483,114.228
5.94,116.03
5.052,92.862
5.906,104.931
3.137,117.553
5.368,111.801
5.378,115.974
4.923,107.526
4.063,90.0
4.76,111.25
7.41,112.694
6.768,87.879
7.385,87.089
8.147,87.357
8.26,86.532
8.248,90.0
8.883,87.58
9.393,86.947
8.263,75.124
7.399,77.367
7.522,67.671
8.21,80.395
8.366,63.435
7.736,65.095
8.053,61.032
8.344,61.113
9.875,58.536
8.48,61.526
6.792,45.764
7.553,51.953
6.776,46.591
7.105,53.746
6.269,74.846
8.489,85.795
9.238,90.0
9.74,88.531
9.756,87.797
10.451,86.553
10.575,87.241
10.492,87.173
9.974,86.987
9.771,85.236
8.378,92.862
7.478,94.236
6.778,100.62
7.188,88.898
7.231,80.181
6.984,91.123
6.43,96.203
5.124,104.421
5.514,120.964
5.688,127.405
4.913,124.992
4.894,117.979
5.162,123.69
5.295,129.094
5.846,132.357
6.482,141.34
6.755,141.843
6.778,150.124
6.933,154.359
6.901,157.62
7.382,159.102
7.289,161.878
6.835,160.56
5.657,163.179
4.178,154.231
5.772,156.801
6.102,164.539
6.349,152.928
5.562,157.479
4.352,136.169
5.427,151.074
4.779,144.638
5.082,127.999
4.573,131.633
4.415,120.964
4.362,101.634
4.121,109.537
3.54,106.504
4.244,135.0
5.018,145.125
5.842,146.31
5.637,126.87
5.436,84.685
5.188,92.793
5.699,113.703
7.099,139.289
6.569,135.0
5.691,109.654
5.344,112.834
5.875,113.199
5.761,108.034
4.941,106.557
4.855,100.713
5.389,106.314
5.468,104.676
4.548,103.24
4.62,110.924
2.392,96.71
2.539,59.534
1.543,18.435
1.786,12.095
1.447,15.255
2.749,192.804
4.367,186.52
4.721,176.987
4.467,178.409
5.421,187.943
6.169,178.831
6.318,180.0
6.752,174.611
5.951,161.175
4.816,154.799
5.379,158.962
5.606,154.592
4.2,133.727
4.013,119.055
4.691,105.524
3.812,115.71
2.953,100.305
3.403,118.443
3.893,117.35
4.239,109.983
4.286,104.826
2.901,35.838
2.306,6.34
0.884,8.13
1.759,167.905
3.769,170.538
4.384,176.73
5.043,175.711
5.236,175.815
4.143,178.152
4.004,170.218
3.742,171.573
3.871,160.906
3.593,149.421
3.0,153.435
2.708,146.31
2.62,103.24
2.797,92.726
2.206,93.18
1.37,111.801
1.83,21.801
1.498,345.964
1.337,303.69
0.974,315.0
1.217,299.055
1.076,12.529
1.649,0.0
0.901,326.31
2.178,217.569
2.346,200.556
3.566,205.56
4.071,206.565
4.993,205.821
5.048,207.3
4.498,207.408
4.212,207.474
3.846,203.499
3.262,207.759
2.44,206.565
1.636,206.565
0.658,180.0
1.117,11.31
2.44,15.524
1.878,0.0
2.099,352.875
2.913,349.216
3.244,349.216
3.537,344.055
3.881,345.964
3.839,357.71
3.85,338.63
3.612,316.736
3.797,254.358
3.637,239.036
4.461,218.928
5.025,211.827
5.842,211.827
5.525,213.69
5.982,215.311
4.33,211.43
4.168,212.905
2.777,216.027
1.771,209.745
0.714,161.565
0.455,30.964
0.584,45.0
1.203,14.036
1.352,18.435
1.472,12.529
2.49,6.34
3.215,0.0
3.839,315.0
5.119,284.932
5.915,272.726
5.339,272.386
6.08,251.565
6.726,244.231
7.784,244.094
8.85,200.695
8.081,199.654
9.213,198.435
8.513,199.502
8.053,200.956
8.152,200.171
7.642,202.443
7.216,192.529
7.945,184.399
7.173,180.0
7.493,183.302
7.851,182.01
7.178,173.418
7.135,174.71
4.162,165.069
5.622,178.668
5.558,181.332
5.682,164.055
5.252,158.459
4.506,196.39
5.16,162.897
5.395,177.337
6.744,159.193
8.371,167.005
8.008,157.864
7.648,164.827
7.339,172.147
8.143,177.357
8.035,176.424
8.157,169.38
8.022,178.21
8.022,169.216
6.089,143.366
8.223,163.217
8.388,155.344
7.158,157.457
7.245,145.491
5.604,133.21
6.455,124.902
5.864,117.095
8.409,133.806
8.083,138.731
7.873,144.039
7.95,128.66
7.659,133.025
7.257,139.185
6.896,137.175
7.633,127.794
8.488,119.539
9.047,133.332
9.02,127.185
9.512,130.764
9.225,125.181
9.553,110.298
10.041,109.323
8.945,115.159
8.697,105.395
9.278,100.573
10.28,116.565
11.533,107.464
9.842,111.93
10.063,102.529
11.582,93.614
10.809,92.545
9.627,100.751
8.789,81.193
11.085,86.186
8.362,104.621
10.722,99.782
10.417,96.71
10.434,79.216
12.076,83.53
10.772,75.964
13.13,87.839
12.475,87.166
12.261,87.686
12.749,87.221
13.091,88.919
12.311,95.194
11.845,87.018
9.703,84.936
12.535,87.754
12.474,80.998
10.537,92.663
12.868,85.101
11.713,87.018
12.924,92.701
12.483,93.965
12.64,83.845
11.512,82.648
12.391,83.157
12.263,85.955
12.108,80.059
11.819,68.532
6.526,50.332
6.893,75.465
9.198,69.623
12.95,88.898
13.686,82.681
13.148,85.101
13.405,86.257
13.388,83.008
12.896,83.845
11.938,88.172
12.969,84.957
12.635,76.661
12.317,70.821
11.052,63.435
11.314,65.449
13.585,73.761
13.712,73.25
12.512,70.821
12.113,69.444
9.569,57.171
8.585,52.431
9.92,47.726
10.922,47.862
11.09,51.033
10.891,53.531
10.294,69.114
10.757,78.559
12.739,77.905
14.284,85.914
15.097,85.156
15.646,83.868
15.383,80.38
14.85,75.842
14.227,72.072
13.486,70.115
12.246,63.435
11.359,62.819
11.546,62.525
11.877,63.138
11.433,65.898
11.538,65.898
11.065,59.534
11.67,57.848
11.71,54.381
