SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,BARRA_dir_delta,BARRA_power,MERRA_speed,MERRA_dir,BARRA_error,MERRA_power
2016-01-01 12:00:00,18.05,14.03,77.64,3.58,17.87,13.15,-93.71,-0.18,17.31
2016-01-01 13:00:00,18.55,14.54,81.22,1.25,18.07,13.1,-94.61,-0.48,17.27
2016-01-01 14:00:00,18.14,15.79,82.47,-0.66,18.36,12.95,-95.64,0.22,17.13
2016-01-01 15:00:00,18.21,16.57,81.81,-1.64,18.45,12.71,-96.15,0.24,16.89
2016-01-01 16:00:00,17.94,16.93,80.17,0.23,18.48,12.58,-96.15,0.54,16.75
2016-01-01 17:00:00,17.94,17.26,80.4,-2.39,18.5,12.86,-95.57,0.56,17.05
2016-01-01 18:00:00,17.7,15.37,78.01,0.68,18.29,13.3,-95.44,0.59,17.43
2016-01-01 19:00:00,17.58,15.41,78.69,-2.61,18.3,13.46,-96.1,0.72,17.54
2016-01-01 20:00:00,16.37,15.82,76.08,2.7,18.37,13.56,-97.17,2.0,17.61
2016-01-01 21:00:00,17.26,16.12,78.78,1.52,18.41,13.71,-98.46,1.15,17.7
2016-01-01 22:00:00,17.75,16.16,80.3,-2.19,18.41,13.78,-100.22,0.66,17.74
2016-01-01 23:00:00,17.26,15.79,78.11,-7.19,18.36,13.56,-102.52,1.1,17.61
2016-01-02 00:00:00,16.4,16.08,70.92,-2.35,18.4,13.29,-104.54,2.0,17.42
2016-01-02 01:00:00,15.52,16.46,68.57,0.46,18.44,13.25,-105.83,2.92,17.39
2016-01-02 02:00:00,14.58,16.75,69.03,-1.02,18.47,13.34,-107.25,3.89,17.46
2016-01-02 03:00:00,14.84,16.54,68.01,-1.14,18.45,13.34,-109.11,3.61,17.46
2016-01-02 04:00:00,13.24,16.55,66.87,-3.43,18.45,13.17,-111.63,5.21,17.32
2016-01-02 05:00:00,6.44,16.51,63.44,-4.98,18.45,12.7,-114.43,12.01,16.88
2016-01-02 06:00:00,7.92,14.68,58.46,-1.98,18.12,12.71,-117.44,10.2,16.89
2016-01-02 07:00:00,9.73,13.24,56.48,1.3,17.38,12.52,-119.45,7.65,16.68
2016-01-02 08:00:00,12.36,11.62,57.78,14.66,15.32,11.73,60.68,2.96,15.52
2016-01-02 09:00:00,13.36,10.3,72.44,8.45,12.12,10.53,61.95,-1.24,12.78
2016-01-02 10:00:00,15.37,13.09,80.89,2.65,17.26,9.38,65.75,1.89,9.24
2016-01-02 11:00:00,15.14,12.69,83.54,2.02,16.87,8.61,73.61,1.73,6.81
2016-01-02 12:00:00,18.0,13.74,85.56,-1.22,17.72,8.48,84.33,-0.28,6.43
2016-01-02 13:00:00,18.27,14.12,84.34,1.61,17.91,8.79,93.5,-0.36,7.36
2016-01-02 14:00:00,16.06,15.93,85.95,-0.67,18.38,9.42,99.43,2.32,9.37
2016-01-02 15:00:00,14.4,15.9,85.28,2.27,18.38,10.04,103.14,3.98,11.34
2016-01-02 16:00:00,13.6,15.48,87.55,1.42,18.31,10.42,104.79,4.71,12.47
2016-01-02 17:00:00,11.48,15.14,88.97,-1.75,18.24,10.53,104.33,6.76,12.78
2016-01-02 18:00:00,10.64,14.15,87.22,4.71,17.92,10.55,103.53,7.28,12.83
2016-01-02 19:00:00,11.48,12.9,91.93,0.05,17.09,10.64,103.76,5.61,13.08
2016-01-02 20:00:00,10.5,12.93,91.98,1.2,17.11,10.75,105.16,6.61,13.37
2016-01-02 21:00:00,9.32,13.28,93.18,-2.51,17.41,11.05,106.33,8.09,14.12
2016-01-02 22:00:00,8.8,12.55,90.67,3.57,16.72,11.29,106.28,7.92,14.66
2016-01-02 23:00:00,8.62,11.92,94.24,-2.04,15.84,11.5,104.91,7.22,15.09
