SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,BARRA_dir_delta,BARRA_power,MERRA_speed,MERRA_dir,BARRA_error,MERRA_power
2018-01-01 12:00:00,2.03,6.2,157.56,0.24,1.81,4.54,-36.34,-0.22,0.61
2018-01-01 13:00:00,2.44,6.57,157.8,-0.24,2.28,5.49,-31.29,-0.16,1.15
2018-01-01 14:00:00,2.72,6.16,157.56,-4.12,1.77,6.22,-30.22,-0.95,1.84
2018-01-01 15:00:00,2.64,6.08,153.44,-3.61,1.68,6.6,-33.81,-0.96,2.32
2018-01-01 16:00:00,2.9,6.19,149.83,-7.99,1.8,6.78,-35.26,-1.1,2.59
2018-01-01 17:00:00,3.15,6.66,141.84,-5.8,2.41,7.15,-35.52,-0.74,3.22
2018-01-01 18:00:00,1.67,4.86,136.04,-18.14,0.76,7.31,-38.89,-0.91,3.53
2018-01-01 19:00:00,1.23,4.82,117.9,-2.55,0.74,7.34,-45.06,-0.49,3.59
2018-01-01 20:00:00,2.12,5.27,115.35,-3.31,1.0,7.28,-51.3,-1.12,3.47
2018-01-01 21:00:00,2.44,5.66,112.04,-6.97,1.28,6.99,-57.25,-1.16,2.93
2018-01-01 22:00:00,2.52,6.73,105.07,-5.8,2.51,6.66,-64.3,-0.01,2.41
2018-01-01 23:00:00,1.93,6.23,99.27,-11.52,1.85,6.41,-73.45,-0.08,2.07
2018-01-02 00:00:00,1.9,6.42,87.75,0.85,2.08,6.27,-83.1,0.18,1.9
2018-01-02 01:00:00,1.56,5.19,88.6,-38.24,0.94,6.26,-91.69,-0.62,1.88
2018-01-02 02:00:00,0.74,5.73,50.36,14.62,1.34,6.27,-99.59,0.6,1.9
2018-01-02 03:00:00,1.66,6.24,64.98,-1.06,1.86,6.31,-107.01,0.2,1.94
2018-01-02 04:00:00,2.38,6.57,63.92,-0.95,2.28,6.34,-114.19,-0.1,1.98
2018-01-02 05:00:00,2.24,6.92,62.97,-21.55,2.81,6.09,-119.24,0.57,1.69
2018-01-02 06:00:00,1.74,5.8,41.42,-5.88,1.41,5.76,-120.12,-0.33,1.37
2018-01-02 07:00:00,2.44,5.54,35.54,15.8,1.19,5.2,-118.09,-1.25,0.95
2018-01-02 08:00:00,0.94,6.43,51.34,1.79,2.09,4.83,67.72,1.15,0.74
2018-01-02 09:00:00,0.55,5.66,53.13,20.56,1.28,4.8,74.89,0.73,0.73
2018-01-02 10:00:00,0.7,5.33,73.69,10.24,1.04,4.91,82.8,0.34,0.78
2018-01-02 11:00:00,1.86,5.73,83.93,-0.39,1.34,4.85,89.03,-0.52,0.75
2018-01-02 12:00:00,3.83,6.51,83.54,0.22,2.2,4.71,96.76,-1.63,0.69
2018-01-02 13:00:00,5.37,7.64,83.76,18.34,4.23,5.12,107.89,-1.14,0.9
2018-01-02 14:00:00,4.72,7.2,102.1,4.7,3.31,5.86,115.54,-1.41,1.46
2018-01-02 15:00:00,4.34,7.03,106.8,-1.73,3.0,6.6,118.22,-1.34,2.32
2018-01-02 16:00:00,4.2,6.84,105.07,-2.81,2.68,7.08,116.25,-1.52,3.09
2018-01-02 17:00:00,5.42,5.96,102.26,-14.3,1.56,7.36,110.75,-3.86,3.63
2018-01-02 18:00:00,4.21,6.94,87.96,12.34,2.85,7.38,104.04,-1.36,3.67
2018-01-02 19:00:00,3.89,5.83,100.3,3.74,1.43,7.16,96.82,-2.46,3.24
2018-01-02 20:00:00,4.28,5.9,104.04,-8.47,1.5,6.94,90.56,-2.78,2.85
2018-01-02 21:00:00,3.97,5.42,95.57,-10.65,1.1,6.61,86.06,-2.87,2.34
2018-01-02 22:00:00,3.47,5.84,84.92,-11.85,1.44,6.21,82.68,-2.03,1.83
2018-01-02 23:00:00,7.8,6.15,73.07,-15.35,1.76,5.97,78.87,-6.04,1.57
2018-01-03 00:00:00,7.57,5.9,57.72,0.13,1.5,5.71,74.82,-6.07,1.33
2018-01-03 01:00:00,3.2,5.47,57.85,-2.36,1.14,5.38,72.23,-2.06,1.07
2018-01-03 02:00:00,1.46,5.11,55.49,-1.74,0.9,4.99,71.77,-0.56,0.83
2018-01-03 03:00:00,0.64,4.88,53.75,-6.02,0.77,4.43,73.09,0.13,0.57
2018-01-03 04:00:00,0.41,3.86,47.73,-12.74,0.39,3.77,78.54,-0.02,0.36
2018-01-03 05:00:00,0.05,1.65,34.99,123.21,0.0,3.3,99.48,-0.05,0.0
2018-01-03 06:00:00,0.02,0.86,158.2,25.17,0.0,3.78,123.01,-0.02,0.37
2018-01-03 07:00:00,0.1,2.25,183.37,-11.28,0.0,4.77,137.33,-0.1,0.71
2018-01-03 08:00:00,1.12,4.51,172.09,5.57,0.6,5.87,145.61,-0.52,1.47
2018-01-03 09:00:00,2.24,6.09,177.66,9.77,1.69,6.65,150.57,-0.55,2.39
2018-01-03 10:00:00,2.55,5.77,187.43,-12.1,1.38,6.96,154.13,-1.17,2.88
2018-01-03 11:00:00,3.19,6.15,175.33,-15.74,1.76,6.7,154.71,-1.43,2.47
2018-01-03 12:00:00,2.62,5.71,159.59,0.31,1.33,6.11,153.34,-1.29,1.71
2018-01-03 13:00:00,2.07,5.43,159.9,0.53,1.11,5.82,153.24,-0.96,1.42
2018-01-03 14:00:00,1.24,5.96,160.43,-1.55,1.56,5.89,154.42,0.32,1.49
2018-01-03 15:00:00,1.13,5.91,158.88,-5.44,1.51,6.01,155.01,0.38,1.61
2018-01-03 16:00:00,1.02,5.33,153.44,8.56,1.04,6.12,154.87,0.02,1.72
2018-01-03 17:00:00,0.74,5.27,162.0,-6.44,1.0,6.34,153.46,0.26,1.98
2018-01-03 18:00:00,0.73,4.55,155.56,6.51,0.62,6.47,149.95,-0.11,2.15
2018-01-03 19:00:00,1.37,4.52,162.07,3.58,0.6,6.28,144.34,-0.77,1.91
2018-01-03 20:00:00,1.34,5.58,165.65,-24.1,1.22,6.0,138.92,-0.12,1.6
2018-01-03 21:00:00,0.57,5.51,141.55,-20.37,1.17,5.78,135.65,0.6,1.39
2018-01-03 22:00:00,0.4,5.61,121.18,-27.53,1.24,5.72,131.68,0.84,1.34
2018-01-03 23:00:00,0.73,5.98,93.65,12.1,1.58,5.56,125.37,0.85,1.2
2018-01-04 00:00:00,0.54,5.14,105.75,1.07,0.91,5.2,119.14,0.37,0.95
2018-01-04 01:00:00,0.29,5.7,106.82,-2.44,1.32,4.78,116.89,1.03,0.72
2018-01-04 02:00:00,0.32,5.15,104.38,1.76,0.92,4.39,118.07,0.6,0.55
2018-01-04 03:00:00,0.12,5.05,106.14,-8.83,0.86,3.99,120.19,0.74,0.42
2018-01-04 04:00:00,0.16,4.96,97.31,11.58,0.81,3.68,123.05,0.65,0.34
2018-01-04 05:00:00,0.05,5.05,108.89,-4.85,0.86,3.76,126.97,0.81,0.36
2018-01-04 06:00:00,0.04,4.51,104.04,7.76,0.6,3.99,128.51,0.56,0.42
2018-01-04 07:00:00,0.16,3.4,111.8,-32.58,0.0,4.1,127.27,-0.16,0.45
2018-01-04 08:00:00,0.31,2.67,79.22,24.02,0.0,4.31,126.19,-0.31,0.52
