SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,BARRA_dir_delta,BARRA_power,MERRA_speed,MERRA_dir,BARRA_error,MERRA_power
2015-01-01 12:00:00,4.04,4.56,105.52,-0.78,0.62,3.71,-75.44,-3.42,0.35
2015-01-01 13:00:00,4.78,4.66,104.74,31.11,0.66,3.63,-67.76,-4.12,0.33
2015-01-01 14:00:00,5.06,5.58,135.85,2.96,1.22,3.81,-57.64,-3.84,0.37
2015-01-01 15:00:00,4.04,4.61,138.81,-0.57,0.64,4.04,-48.39,-3.4,0.44
2015-01-01 16:00:00,1.78,4.26,138.24,4.89,0.51,4.21,-40.35,-1.27,0.49
2015-01-01 17:00:00,0.84,3.24,143.13,-34.69,0.0,4.17,-33.13,-0.84,0.48
2015-01-01 18:00:00,0.03,3.14,108.44,-14.75,0.0,4.07,-33.66,-0.03,0.45
2015-01-01 19:00:00,0.02,3.37,93.69,-7.78,0.0,3.53,-49.76,-0.02,0.31
2015-01-01 20:00:00,0.02,2.79,85.91,22.53,0.0,2.63,-62.92,-0.02,0.0
2015-01-01 21:00:00,0.02,1.19,108.44,122.9,0.0,1.43,-70.31,-0.02,0.0
2015-01-01 22:00:00,0.02,0.92,231.34,23.4,0.0,0.16,-126.16,-0.02,0.0
2015-01-01 23:00:00,0.02,1.66,254.74,30.19,0.0,1.26,82.68,-0.02,0.0
2015-01-02 00:00:00,0.02,2.22,284.93,-17.22,0.0,3.34,66.37,-0.02,0.0
2015-01-02 01:00:00,0.14,3.44,267.71,8.0,0.0,4.12,66.03,-0.14,0.46
2015-01-02 02:00:00,0.39,3.52,275.71,1.41,0.31,4.8,68.22,-0.08,0.73
2015-01-02 03:00:00,0.55,5.14,277.12,-19.65,0.91,5.16,71.44,0.36,0.93
2015-01-02 04:00:00,1.04,5.75,257.47,2.23,1.36,5.32,75.12,0.32,1.03
2015-01-02 05:00:00,1.25,6.01,259.7,-7.27,1.61,5.24,78.79,0.36,0.98
2015-01-02 06:00:00,0.88,7.88,252.43,12.18,4.8,5.11,83.09,3.92,0.9
2015-01-02 07:00:00,0.94,7.04,264.61,22.49,3.02,5.31,84.37,2.08,1.02
2015-01-02 08:00:00,1.31,5.96,287.1,3.46,1.56,5.64,260.7,0.25,1.27
2015-01-02 09:00:00,1.3,5.88,290.56,-10.9,1.48,5.91,253.63,0.18,1.51
2015-01-02 10:00:00,8.53,6.18,279.66,-68.96,1.79,6.23,245.26,-6.74,1.85
2015-01-02 11:00:00,5.52,8.77,210.7,8.1,7.3,6.87,235.22,1.78,2.73
2015-01-02 12:00:00,6.2,8.02,218.8,8.54,5.15,7.66,226.89,-1.05,4.27
2015-01-02 13:00:00,8.83,8.48,227.34,1.82,6.43,8.52,222.2,-2.4,6.54
2015-01-02 14:00:00,10.86,9.73,229.16,-0.27,10.37,9.04,221.61,-0.49,8.15
2015-01-02 15:00:00,10.27,9.01,228.89,4.24,8.05,9.45,222.37,-2.22,9.47
2015-01-02 16:00:00,13.67,9.8,233.13,-1.57,10.59,9.66,221.81,-3.08,10.14
2015-01-02 17:00:00,13.21,10.1,231.56,-16.82,11.52,9.52,221.19,-1.69,9.69
2015-01-02 18:00:00,13.19,11.2,214.74,4.23,14.46,9.67,219.81,1.27,10.17
2015-01-02 19:00:00,12.7,10.86,218.97,-0.88,13.65,9.02,219.35,0.95,8.08
2015-01-02 20:00:00,13.11,11.64,218.09,-8.92,15.36,8.51,220.23,2.25,6.51
2015-01-02 21:00:00,15.16,12.26,209.17,3.77,16.35,8.78,220.71,1.19,7.33
2015-01-02 22:00:00,12.64,10.6,212.94,-3.28,12.97,9.02,220.61,0.33,8.08
2015-01-02 23:00:00,14.68,10.25,209.66,7.78,11.97,8.75,220.78,-2.71,7.24
2015-01-03 00:00:00,13.74,9.93,217.44,-13.81,11.0,8.68,218.2,-2.74,7.02
2015-01-03 01:00:00,10.82,8.66,203.63,-0.2,6.96,8.01,213.32,-3.86,5.13
2015-01-03 02:00:00,5.65,8.15,203.43,-13.28,5.5,7.66,209.06,-0.15,4.27
2015-01-03 03:00:00,3.02,8.44,190.15,0.15,6.31,7.97,205.89,3.29,5.03
2015-01-03 04:00:00,5.72,8.28,190.3,-2.95,5.85,7.97,201.68,0.13,5.03
2015-01-03 05:00:00,5.65,7.7,187.35,0.35,4.37,6.84,195.64,-1.28,2.68
2015-01-03 06:00:00,2.9,4.62,187.7,2.48,0.65,6.5,191.96,-2.25,2.19
2015-01-03 07:00:00,2.03,4.84,190.18,-1.14,0.75,6.14,184.52,-1.28,1.75
2015-01-03 08:00:00,2.1,5.52,189.04,1.58,1.17,5.2,173.79,-0.93,0.95
2015-01-03 09:00:00,1.58,3.98,190.62,-13.48,0.42,4.76,162.43,-1.16,0.71
2015-01-03 10:00:00,1.06,4.89,177.14,0.26,0.77,4.94,158.86,-0.29,0.8
2015-01-03 11:00:00,1.87,5.39,177.4,-30.14,1.08,5.16,155.45,-0.79,0.93
2015-01-03 12:00:00,2.24,6.16,147.26,3.14,1.77,5.05,146.63,-0.47,0.86
2015-01-03 13:00:00,2.91,6.21,150.4,-12.11,1.83,5.13,139.73,-1.08,0.91
2015-01-03 14:00:00,3.09,7.6,138.29,-4.53,4.14,5.17,132.67,1.05,0.93
2015-01-03 15:00:00,4.26,8.06,133.76,-12.64,5.26,5.37,131.68,1.0,1.06
2015-01-03 16:00:00,4.92,7.7,121.12,-19.99,4.37,5.83,126.47,-0.55,1.43
2015-01-03 17:00:00,3.22,7.76,101.13,-11.13,4.51,6.2,118.72,1.29,1.81
2015-01-03 18:00:00,1.58,7.76,90.0,-1.74,4.51,6.61,109.9,2.93,2.34
2015-01-03 19:00:00,1.38,8.23,88.26,-9.57,5.72,6.81,101.53,4.34,2.64
2015-01-03 20:00:00,1.59,8.85,78.69,-6.64,7.55,6.84,97.15,5.96,2.68
2015-01-03 21:00:00,1.98,9.31,72.05,-4.14,9.01,6.68,92.89,7.03,2.44
2015-01-03 22:00:00,3.4,9.19,67.91,-3.32,8.63,6.5,86.89,5.23,2.19
2015-01-03 23:00:00,5.16,10.83,64.59,-5.33,13.58,6.45,77.93,8.42,2.12
2015-01-04 00:00:00,5.12,10.63,59.26,-7.14,13.05,6.43,67.82,7.93,2.09
2015-01-04 01:00:00,7.84,11.1,52.12,3.44,14.23,6.46,58.28,6.39,2.13
2015-01-04 02:00:00,13.91,10.0,55.56,-11.85,11.22,6.54,49.18,-2.69,2.24
2015-01-04 03:00:00,16.11,10.86,43.71,-0.91,13.65,6.4,41.54,-2.46,2.05
2015-01-04 04:00:00,11.47,12.76,42.8,-4.97,16.95,5.93,35.68,5.48,1.53
2015-01-04 05:00:00,11.16,12.32,37.83,-2.61,16.43,5.16,32.13,5.27,0.93
2015-01-04 06:00:00,5.65,9.4,35.22,-2.87,9.3,4.67,33.63,3.65,0.67
2015-01-04 07:00:00,1.67,7.81,32.35,-0.85,4.63,3.94,37.54,2.96,0.41
2015-01-04 08:00:00,0.37,4.04,31.5,126.7,0.44,2.97,51.5,0.07,0.0
2015-01-04 09:00:00,0.3,1.01,158.2,28.14,0.0,2.56,78.32,-0.3,0.0
2015-01-04 10:00:00,0.94,3.13,186.34,-41.65,0.0,2.88,100.73,-0.94,0.0
2015-01-04 11:00:00,2.04,3.31,144.69,-10.86,0.0,4.01,112.04,-2.04,0.43
2015-01-04 12:00:00,4.38,3.95,133.83,-22.21,0.41,5.18,112.64,-3.97,0.94
2015-01-04 13:00:00,3.22,7.0,111.62,-7.12,2.95,6.07,110.18,-0.27,1.67
2015-01-04 14:00:00,2.92,7.38,104.5,8.93,3.67,6.72,108.09,0.75,2.5
2015-01-04 15:00:00,4.46,8.02,113.43,-4.46,5.15,7.24,107.73,0.69,3.39
2015-01-04 16:00:00,4.73,8.27,108.97,-10.48,5.83,7.81,107.52,1.1,4.63
2015-01-04 17:00:00,4.66,8.23,98.49,-3.85,5.72,8.33,106.27,1.06,6.0
2015-01-04 18:00:00,6.02,8.62,94.64,-3.32,6.84,8.86,104.35,0.82,7.58
2015-01-04 19:00:00,6.92,10.37,91.32,-6.52,12.32,9.04,101.11,5.4,8.15
2015-01-04 20:00:00,8.5,10.93,84.8,-0.57,13.83,9.11,95.85,5.33,8.37
2015-01-04 21:00:00,14.68,11.14,84.23,-6.24,14.32,9.15,90.15,-0.36,8.5
2015-01-04 22:00:00,13.02,12.01,77.99,0.82,15.99,9.09,85.5,2.97,8.31
2015-01-04 23:00:00,12.14,11.58,78.81,-3.13,15.24,9.01,81.7,3.1,8.05
2015-01-05 00:00:00,16.52,12.12,75.68,-1.55,16.15,8.98,78.69,-0.37,7.96
2015-01-05 01:00:00,18.52,12.36,74.13,-4.41,16.48,8.98,76.6,-2.04,7.96
2015-01-05 02:00:00,17.27,12.32,69.72,-5.09,16.43,8.98,75.23,-0.84,7.96
2015-01-05 03:00:00,8.3,13.51,64.63,0.59,17.57,9.05,74.65,9.27,8.18
2015-01-05 04:00:00,7.33,12.54,65.22,-1.22,16.7,9.27,74.33,9.37,8.88
2015-01-05 05:00:00,11.14,11.54,64.0,7.56,15.17,9.32,73.21,4.03,9.05
2015-01-05 06:00:00,7.54,10.74,71.56,-3.84,13.34,9.7,70.89,5.8,10.27
2015-01-05 07:00:00,7.48,11.26,67.72,0.23,14.59,10.21,68.91,7.11,11.85
2015-01-05 08:00:00,7.71,10.63,67.95,3.61,13.05,10.25,69.1,5.34,11.97
2015-01-05 09:00:00,9.35,10.57,71.56,2.4,12.89,10.17,71.3,3.54,11.73
2015-01-05 10:00:00,6.74,10.08,73.96,7.81,11.46,10.01,73.84,4.72,11.25
2015-01-05 11:00:00,9.17,9.82,81.77,7.51,10.65,9.7,77.38,1.48,10.27
2015-01-05 12:00:00,12.1,8.71,89.28,5.39,7.11,9.73,83.9,-4.99,10.37
2015-01-05 13:00:00,16.4,10.12,94.67,4.12,11.58,10.48,88.99,-4.82,12.64
2015-01-05 14:00:00,19.32,9.91,98.79,-1.16,10.93,11.65,90.08,-8.39,15.38
2015-01-05 15:00:00,20.36,11.65,97.63,-12.79,15.38,12.84,88.24,-4.98,17.03
2015-01-05 16:00:00,20.48,15.42,84.84,-6.91,18.3,13.39,83.74,-2.18,17.49
2015-01-05 17:00:00,20.38,16.68,77.93,-6.48,18.46,13.54,79.61,-1.92,17.59
2015-01-05 18:00:00,20.27,17.86,71.45,-3.25,18.52,13.31,77.55,-1.75,17.43
2015-01-05 19:00:00,19.7,18.63,68.2,-3.44,18.55,12.29,76.94,-1.15,16.39
2015-01-05 20:00:00,19.91,19.75,64.76,-4.61,18.56,11.97,75.9,-1.35,15.92
2015-01-05 21:00:00,17.28,19.13,60.15,-3.26,18.55,11.87,74.85,1.27,15.76
2015-01-05 22:00:00,15.84,19.33,56.89,-0.47,18.56,12.13,72.57,2.72,16.17
2015-01-05 23:00:00,18.12,19.77,56.42,-3.38,18.56,12.3,70.11,0.44,16.4
2015-01-06 00:00:00,20.09,19.02,53.04,-4.9,18.55,12.41,66.61,-1.54,16.55
2015-01-06 01:00:00,19.97,19.19,48.14,-10.93,18.56,12.68,61.2,-1.41,16.86
2015-01-06 02:00:00,18.39,19.36,37.21,-10.26,18.56,12.8,53.78,0.17,16.99
2015-01-06 03:00:00,17.79,19.51,26.95,-12.25,18.56,12.67,44.75,0.77,16.85
2015-01-06 04:00:00,14.41,20.1,14.7,-7.63,18.57,11.8,36.7,4.16,15.64
2015-01-06 05:00:00,6.59,20.54,7.07,1.19,18.57,10.89,26.32,11.98,13.73
2015-01-06 06:00:00,1.88,19.52,8.26,351.27,18.56,8.89,15.04,16.68,7.67
2015-01-06 07:00:00,0.18,18.87,359.53,-51.96,18.55,8.74,357.63,18.37,7.21
2015-01-06 08:00:00,0.75,6.17,307.57,-13.0,1.78,9.09,338.16,1.03,8.31
2015-01-06 09:00:00,0.62,6.54,294.57,-67.18,2.24,8.74,313.56,1.62,7.21
2015-01-06 10:00:00,2.52,8.2,227.39,24.36,5.63,9.65,283.45,3.11,10.11
