SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,BARRA_dir_delta,BARRA_power,MERRA_speed,MERRA_dir,BARRA_error,MERRA_power
2013-01-01 12:00:00,2.31,5.5,271.55,17.68,1.16,4.95,116.75,-1.15,0.81
2013-01-01 13:00:00,3.68,6.27,289.23,-56.22,1.9,4.87,71.58,-1.78,0.76
2013-01-01 14:00:00,5.11,10.86,233.01,-14.13,13.65,6.21,34.95,8.54,1.83
2013-01-01 15:00:00,2.43,9.61,218.88,26.24,9.98,6.91,17.57,7.55,2.8
2013-01-01 16:00:00,1.25,8.79,245.12,5.63,7.36,6.49,8.02,6.11,2.17
2013-01-01 17:00:00,0.03,7.23,250.75,14.28,3.37,6.0,5.06,3.34,1.6
2013-01-01 18:00:00,1.5,7.61,265.03,44.96,4.16,5.45,1.3,2.66,1.12
2013-01-01 19:00:00,2.72,6.94,309.99,-5.48,2.85,4.58,4.67,0.13,0.63
2013-01-01 20:00:00,0.18,6.57,304.51,1.03,2.28,4.02,21.27,2.1,0.43
2013-01-01 21:00:00,1.04,10.47,305.54,-4.91,12.61,4.12,33.48,11.57,0.46
2013-01-01 22:00:00,0.64,11.49,300.63,-10.07,15.07,4.08,41.57,14.43,0.45
2013-01-01 23:00:00,1.65,9.73,290.56,-6.68,10.37,3.78,54.28,8.72,0.37
2013-01-02 00:00:00,7.69,11.46,283.88,-9.74,15.01,3.64,73.44,7.32,0.33
2013-01-02 01:00:00,16.42,10.36,274.14,-7.06,12.29,4.06,92.63,-4.13,0.44
2013-01-02 02:00:00,16.58,11.66,267.08,-10.45,15.39,5.08,102.75,-1.19,0.88
2013-01-02 03:00:00,12.37,13.21,256.63,-9.34,17.36,6.02,103.02,4.99,1.62
2013-01-02 04:00:00,4.64,11.84,247.29,6.77,15.71,6.56,97.59,11.07,2.27
2013-01-02 05:00:00,3.1,11.04,254.06,1.47,14.09,6.81,89.16,10.99,2.64
2013-01-02 06:00:00,1.78,8.17,255.53,2.37,5.55,7.45,78.23,3.77,3.81
2013-01-02 07:00:00,0.1,7.31,257.9,6.5,3.53,7.46,74.13,3.43,3.83
2013-01-02 08:00:00,0.03,6.51,264.4,-7.94,2.2,7.45,255.24,2.17,3.81
2013-01-02 09:00:00,0.75,6.94,256.46,4.41,2.85,7.68,252.55,2.1,4.32
2013-01-02 10:00:00,3.0,7.18,260.87,-1.85,3.27,7.99,245.76,0.27,5.08
2013-01-02 11:00:00,5.28,8.52,259.02,-9.37,6.54,8.07,236.98,1.26,5.29
2013-01-02 12:00:00,9.86,8.37,249.65,-10.2,6.11,7.81,229.38,-3.75,4.63
2013-01-02 13:00:00,11.51,8.87,239.45,0.99,7.61,7.34,225.41,-3.9,3.59
2013-01-02 14:00:00,14.14,9.7,240.44,6.79,10.27,6.98,221.56,-3.87,2.92
2013-01-02 15:00:00,14.08,10.83,247.23,1.49,13.58,6.76,218.36,-0.5,2.56
2013-01-02 16:00:00,12.08,12.21,248.72,-3.77,16.28,6.8,215.33,4.2,2.62
2013-01-02 17:00:00,11.59,12.43,244.95,3.45,16.57,7.0,213.0,4.98,2.95
2013-01-02 18:00:00,10.6,13.69,248.4,5.34,17.69,6.8,209.52,7.09,2.62
2013-01-02 19:00:00,5.11,12.68,253.74,4.84,16.86,5.86,209.92,11.75,1.46
2013-01-02 20:00:00,5.06,12.68,258.58,22.13,16.86,4.83,218.86,11.8,0.74
2013-01-02 21:00:00,2.64,14.28,280.71,18.03,17.98,5.43,237.71,15.34,1.11
2013-01-02 22:00:00,2.86,13.35,298.74,10.35,17.46,7.26,253.41,14.6,3.43
2013-01-02 23:00:00,4.28,10.57,309.09,11.21,12.89,8.46,265.8,8.61,6.37
2013-01-03 00:00:00,2.06,8.82,320.3,-22.95,7.45,8.92,277.03,5.39,7.77
2013-01-03 01:00:00,2.95,12.49,297.35,-9.53,16.65,9.12,284.99,13.7,8.4
2013-01-03 02:00:00,5.06,14.67,287.82,-4.82,18.12,9.2,290.0,13.06,8.66
2013-01-03 03:00:00,5.06,15.03,283.0,0.29,18.22,9.35,294.18,13.16,9.14
2013-01-03 04:00:00,4.46,16.5,283.29,-0.86,18.44,9.62,296.59,13.98,10.01
2013-01-03 05:00:00,7.05,16.46,282.43,-2.31,18.44,9.78,297.06,11.39,10.53
2013-01-03 06:00:00,7.65,17.86,280.12,4.22,18.52,10.6,292.53,10.87,12.97
2013-01-03 07:00:00,7.82,17.38,284.34,4.43,18.5,11.42,286.68,10.68,14.93
2013-01-03 08:00:00,11.12,14.12,288.77,-3.91,17.91,11.96,282.44,6.79,15.91
2013-01-03 09:00:00,16.9,12.86,284.86,-26.61,17.05,12.65,277.82,0.15,16.83
2013-01-03 10:00:00,18.29,12.64,258.25,1.9,16.82,13.65,272.33,-1.47,17.66
2013-01-03 11:00:00,18.6,15.39,260.15,2.73,18.29,14.4,264.87,-0.31,18.02
2013-01-03 12:00:00,18.88,14.11,262.88,-6.92,17.9,14.74,258.37,-0.98,18.14
2013-01-03 13:00:00,19.02,15.89,255.96,-2.37,18.38,15.0,254.28,-0.64,18.21
2013-01-03 14:00:00,19.03,16.86,253.59,3.17,18.47,15.13,253.0,-0.56,18.24
2013-01-03 15:00:00,18.88,19.61,256.76,2.13,18.56,15.15,254.65,-0.32,18.24
2013-01-03 16:00:00,19.02,20.59,258.89,-0.47,18.57,15.1,256.3,-0.45,18.23
2013-01-03 17:00:00,18.58,20.55,258.42,-0.63,18.57,15.28,257.37,-0.01,18.27
2013-01-03 18:00:00,16.46,17.42,257.79,3.68,18.51,15.4,259.45,2.05,18.3
2013-01-03 19:00:00,16.74,17.87,261.47,-0.81,18.53,15.14,262.61,1.79,18.24
2013-01-03 20:00:00,14.43,19.51,260.66,-3.06,18.56,15.18,264.07,4.13,18.25
2013-01-03 21:00:00,6.62,18.42,257.6,0.05,18.54,15.09,263.51,11.92,18.23
2013-01-03 22:00:00,11.0,17.58,257.65,-0.27,18.51,15.0,261.52,7.51,18.21
2013-01-03 23:00:00,4.92,17.2,257.38,8.22,18.5,14.73,259.75,13.58,18.13
2013-01-04 00:00:00,8.09,13.2,265.6,-7.74,17.35,14.47,258.29,9.26,18.05
2013-01-04 01:00:00,5.22,12.12,257.86,-0.58,16.15,14.24,256.79,10.93,17.96
2013-01-04 02:00:00,4.58,16.02,257.28,-3.16,18.39,13.72,255.82,13.81,17.7
2013-01-04 03:00:00,4.75,15.2,254.12,1.14,18.25,13.21,255.51,13.5,17.36
2013-01-04 04:00:00,5.05,14.74,255.26,1.07,18.14,12.96,255.21,13.09,17.14
2013-01-04 05:00:00,5.88,14.41,256.33,-2.95,18.03,12.52,255.23,12.15,16.68
2013-01-04 06:00:00,4.69,9.3,253.38,-2.32,8.98,12.62,254.99,4.29,16.8
2013-01-04 07:00:00,3.5,13.82,251.06,-4.77,17.76,12.86,252.85,14.26,17.05
2013-01-04 08:00:00,5.29,14.6,246.29,1.53,18.09,12.52,250.43,12.8,16.68
2013-01-04 09:00:00,11.52,13.88,247.82,-0.36,17.79,11.68,249.74,6.27,15.43
2013-01-04 10:00:00,18.63,14.3,247.46,-7.41,17.98,11.11,247.9,-0.65,14.26
2013-01-04 11:00:00,18.93,13.26,240.05,13.82,17.4,11.13,244.07,-1.53,14.3
2013-01-04 12:00:00,18.3,10.83,253.87,-7.07,13.58,11.04,241.19,-4.72,14.09
2013-01-04 13:00:00,18.05,13.3,246.8,-2.38,17.43,10.8,238.95,-0.62,13.5
2013-01-04 14:00:00,15.98,13.03,244.42,-2.2,17.21,10.42,236.98,1.23,12.47
2013-01-04 15:00:00,15.57,13.13,242.22,4.18,17.29,9.85,235.75,1.72,10.75
2013-01-04 16:00:00,17.08,11.87,246.4,0.65,15.76,9.2,235.2,-1.32,8.66
