SETTLEMENTDATE,NEM,BARRA_speed,BARRA_dir,MERRA_speed,MERRA_dir
2011-01-01 12:00:00,4.62,8.55,-79.12,9.08,-62.5
2011-01-01 13:00:00,4.7,9.38,-78.47,9.38,-63.65
2011-01-01 14:00:00,5.63,10.4,-77.02,9.58,-66.35
2011-01-01 15:00:00,6.48,10.76,-80.29,9.72,-69.65
2011-01-01 16:00:00,8.45,10.65,-79.69,9.82,-72.54
2011-01-01 17:00:00,8.83,10.14,-81.9,9.94,-75.12
2011-01-01 18:00:00,9.57,10.74,-88.14,10.11,-77.45
2011-01-01 19:00:00,7.52,10.8,-87.18,10.12,-79.74
2011-01-01 20:00:00,5.38,12.24,-91.49,10.13,-81.34
2011-01-01 21:00:00,5.57,11.03,-86.28,10.15,-81.95
2011-01-01 22:00:00,7.32,11.37,-86.76,10.32,-82.48
2011-01-01 23:00:00,9.02,13.2,-85.3,10.42,-82.74
2011-01-02 00:00:00,10.46,11.98,-99.36,10.48,-82.13
2011-01-02 01:00:00,9.75,11.78,-97.01,10.58,-81.7
2011-01-02 02:00:00,9.26,11.2,-91.91,10.62,-82.78
2011-01-02 03:00:00,7.74,11.62,-96.95,10.55,-85.67
2011-01-02 04:00:00,7.3,11.43,-95.5,10.47,-89.65
2011-01-02 05:00:00,6.88,10.74,-92.67,10.58,-93.23
2011-01-02 06:00:00,10.34,12.48,-88.4,11.06,-96.55
2011-01-02 07:00:00,10.35,12.85,-91.66,11.1,-99.63
2011-01-02 08:00:00,10.11,13.35,-95.64,10.91,-100.61
2011-01-02 09:00:00,12.89,13.15,-102.7,10.83,-98.28
2011-01-02 10:00:00,13.84,13.04,-103.16,11.09,-94.04
2011-01-02 11:00:00,13.92,12.7,-100.71,11.46,-91.03
2011-01-02 12:00:00,14.72,13.05,-98.88,11.74,-89.99
2011-01-02 13:00:00,15.62,14.18,-99.98,11.8,-90.51
2011-01-02 14:00:00,17.19,13.84,-97.2,11.7,-91.37
2011-01-02 15:00:00,16.8,14.69,-99.46,11.49,-91.52
2011-01-02 16:00:00,16.46,13.44,-100.41,11.2,-90.37
2011-01-02 17:00:00,15.19,13.22,-99.49,11.06,-88.7
2011-01-02 18:00:00,13.92,12.73,-96.96,11.17,-87.4
2011-01-02 19:00:00,14.0,13.16,-97.83,11.39,-87.96
2011-01-02 20:00:00,15.82,13.5,-93.34,11.73,-89.41
2011-01-02 21:00:00,17.42,15.14,-102.9,11.76,-91.22
2011-01-02 22:00:00,16.48,16.09,-104.99,11.69,-93.42
2011-01-02 23:00:00,16.37,16.11,-107.5,11.46,-94.53
2011-01-03 00:00:00,16.48,15.41,-106.1,11.39,-95.75
2011-01-03 01:00:00,15.56,15.69,-110.31,11.55,-98.19
2011-01-03 02:00:00,17.64,15.17,-113.62,11.54,-99.69
2011-01-03 03:00:00,16.73,15.12,-114.75,11.35,-99.43
2011-01-03 04:00:00,16.97,15.36,-117.75,11.49,-99.13
2011-01-03 05:00:00,18.14,15.71,-119.48,11.16,-100.33
2011-01-03 06:00:00,19.14,13.76,-115.72,11.27,-102.43
2011-01-03 07:00:00,18.85,12.12,-124.52,11.22,-104.83
2011-01-03 08:00:00,17.8,10.48,-133.27,10.77,-106.66
2011-01-03 09:00:00,14.43,8.66,-144.47,9.93,-106.71
2011-01-03 10:00:00,13.0,6.96,9.31,8.96,-104.04
2011-01-03 11:00:00,6.6,4.06,0.9,7.94,-93.59
2011-01-03 12:00:00,5.93,8.05,-1.24,7.51,-75.71
2011-01-03 13:00:00,3.79,4.15,26.94,7.91,-62.0
2011-01-03 14:00:00,4.73,2.19,68.44,8.17,-56.73
2011-01-03 15:00:00,2.6,3.83,-18.27,8.21,-52.55
2011-01-03 16:00:00,1.72,6.09,-20.26,8.22,-47.72
2011-01-03 17:00:00,4.83,6.2,-38.3,8.3,-43.02
2011-01-03 18:00:00,3.66,7.19,-40.05,8.17,-35.96
2011-01-03 19:00:00,1.54,6.94,-53.3,7.88,-30.83
2011-01-03 20:00:00,0.82,5.5,-66.15,7.57,-27.68
2011-01-03 21:00:00,1.32,4.92,-59.62,7.54,-22.24
2011-01-03 22:00:00,1.34,4.92,-44.58,7.52,-20.56
2011-01-03 23:00:00,1.27,4.45,-50.86,7.07,-20.54
2011-01-04 00:00:00,0.84,2.66,-57.25,6.46,-18.79
2011-01-04 01:00:00,0.26,1.73,-51.03,6.06,-17.84
2011-01-04 02:00:00,0.15,1.5,-50.14,5.76,-18.22
2011-01-04 03:00:00,0.21,1.0,-21.53,5.65,-19.72
2011-01-04 04:00:00,0.08,2.13,-8.48,5.68,-21.76
2011-01-04 05:00:00,0.08,2.36,-19.36,5.63,-25.5
2011-01-04 06:00:00,0.08,3.08,-57.54,5.31,-31.41
2011-01-04 07:00:00,0.36,2.57,-63.44,4.88,-35.88
2011-01-04 08:00:00,0.26,2.86,-93.98,4.74,-40.55
2011-01-04 09:00:00,0.87,3.45,-86.64,4.93,-46.13
2011-01-04 10:00:00,2.33,3.93,-75.74,5.04,-53.08
2011-01-04 11:00:00,3.34,4.48,-74.17,5.14,-58.13
2011-01-04 12:00:00,4.83,4.23,-62.06,5.52,-58.72
2011-01-04 13:00:00,4.01,6.12,-69.14,6.07,-58.09
2011-01-04 14:00:00,3.36,5.08,-65.38,6.63,-59.36
2011-01-04 15:00:00,3.95,5.4,-60.71,7.12,-63.04
2011-01-04 16:00:00,5.96,4.22,-73.97,7.58,-69.08
2011-01-04 17:00:00,7.83,4.31,-53.65,8.19,-76.02
2011-01-04 18:00:00,11.62,7.06,-66.34,8.94,-82.19
2011-01-04 19:00:00,20.64,9.54,-76.5,9.71,-88.17
2011-01-04 20:00:00,20.2,10.65,-95.37,10.24,-94.96
2011-01-04 21:00:00,19.74,11.62,-106.6,10.45,-101.75
2011-01-04 22:00:00,16.6,11.26,-119.5,10.47,-107.91
2011-01-04 23:00:00,13.78,10.3,-129.78,10.14,-113.0
2011-01-05 00:00:00,17.6,10.73,-129.89,9.75,-117.33
2011-01-05 01:00:00,15.0,11.24,-136.04,9.26,-121.18
2011-01-05 02:00:00,14.74,12.3,-141.15,8.8,-124.09
2011-01-05 03:00:00,15.8,15.11,-144.49,8.86,-126.11
2011-01-05 04:00:00,19.48,18.16,-162.07,9.11,-127.96
2011-01-05 05:00:00,19.05,18.23,-168.16,9.25,-136.52
2011-01-05 06:00:00,15.87,15.08,86.9,8.9,-145.4
2011-01-05 07:00:00,10.31,14.33,159.94,8.52,-154.0
2011-01-05 08:00:00,11.39,13.27,157.86,9.1,-165.86
2011-01-05 09:00:00,14.4,16.3,159.77,10.16,-177.83
2011-01-05 10:00:00,14.34,19.07,129.97,10.71,176.64
2011-01-05 11:00:00,13.59,13.77,127.52,11.55,171.37
2011-01-05 12:00:00,10.07,16.68,171.24,12.24,157.59
2011-01-05 13:00:00,16.19,13.23,-131.22,13.3,128.97
2011-01-05 14:00:00,1.66,9.93,107.12,11.88,103.25
2011-01-05 15:00:00,0.26,19.49,109.67,9.61,85.2
2011-01-05 16:00:00,1.34,17.12,102.26,8.59,76.12
