wind_speed,direction
4.992,315.0
2.171,122.471
3.83,207.759
5.346,225.0
5.876,143.13
8.514,186.71
3.469,185.711
4.326,165.964
8.472,0.0
11.144,348.367
10.133,344.249
9.916,323.673
7.853,318.367
7.919,309.806
7.967,299.578
8.144,292.834
7.731,293.806
7.329,290.377
6.75,272.386
6.873,273.013
7.809,300.964
7.989,317.49
8.409,317.863
8.857,329.421
7.506,40.914
7.897,65.225
5.334,63.435
3.707,161.565
3.7,184.764
5.573,192.529
8.02,195.945
10.806,53.13
12.732,338.199
12.996,347.471
13.009,354.56
12.028,355.237
9.791,352.875
7.945,39.805
7.059,45.0
5.888,135.0
6.425,147.995
5.462,139.399
4.7,124.592
4.877,109.573
4.837,105.524
4.984,105.173
4.895,101.482
5.529,99.058
6.36,93.576
6.994,105.945
7.422,108.435
7.64,107.771
7.824,107.771
7.781,104.184
5.89,99.462
5.975,84.864
6.834,67.109
6.412,55.049
5.325,50.71
5.472,37.528
5.387,40.914
5.617,38.66
5.056,54.323
4.45,44.118
5.288,19.44
5.032,358.781
6.341,1.79
6.471,3.715
7.387,355.4
8.749,344.995
9.559,339.8
12.145,334.733
9.389,327.745
11.328,328.046
12.647,328.671
12.741,358.132
13.091,7.556
3.453,1.736
8.159,345.774
4.723,248.199
16.18,285.945
15.424,340.224
13.649,342.897
11.688,354.428
16.383,343.025
15.742,353.66
14.702,4.276
16.189,350.82
16.462,339.639
16.437,337.816
17.523,344.373
16.805,345.163
16.611,339.131
18.154,343.644
16.362,334.44
20.939,335.585
21.714,323.785
22.203,329.199
23.692,331.209
24.208,326.201
25.396,319.994
25.949,305.992
24.176,314.397
24.538,317.698
24.417,318.493
24.452,318.395
24.511,315.216
23.733,309.89
22.398,308.211
22.257,311.186
21.7,309.976
21.433,306.027
21.533,299.919
22.307,292.584
21.625,290.2
22.107,293.259
22.231,289.911
22.511,290.606
21.922,279.866
21.626,270.498
18.948,273.888
18.335,270.0
17.561,268.282
17.791,264.857
18.065,260.538
18.629,258.024
19.259,253.073
19.565,252.121
19.843,246.405
19.489,248.629
19.26,242.865
18.743,241.579
18.45,231.424
18.042,228.705
17.541,226.397
16.779,228.545
15.568,232.561
13.127,229.475
13.043,224.519
12.67,226.397
11.875,226.736
11.807,228.609
11.79,225.0
10.978,228.918
9.0,216.87
8.562,220.711
9.057,220.061
9.168,218.66
9.733,214.695
10.411,213.453
11.404,209.65
11.065,204.88
11.026,212.471
10.677,209.539
10.447,207.408
9.819,208.951
9.781,218.501
8.776,211.799
7.793,209.876
7.816,206.996
8.113,204.905
8.129,206.966
8.639,202.989
7.837,200.266
6.913,197.301
6.363,192.848
5.916,188.427
5.601,184.97
4.14,169.509
3.693,169.992
3.251,120.256
3.51,116.565
3.539,114.145
3.264,114.444
2.382,109.29
2.6,83.29
2.448,63.904
3.076,50.44
2.947,14.743
2.304,345.964
2.725,342.121
3.43,332.447
3.155,333.435
2.676,341.565
2.101,324.462
1.69,288.435
1.22,284.036
2.178,239.744
2.923,231.34
3.458,210.256
3.857,201.251
3.984,202.834
4.513,141.843
4.472,120.651
4.213,117.824
4.087,116.003
3.972,113.962
4.322,110.674
6.127,105.572
6.638,97.125
6.035,89.204
3.419,74.678
2.406,65.772
5.661,57.6
6.529,56.634
5.988,80.838
5.794,109.026
5.8,124.216
6.63,139.236
7.896,138.576
8.515,131.906
8.399,130.711
8.26,122.681
8.296,112.557
8.07,106.389
7.731,103.191
7.669,112.479
7.493,108.166
7.759,105.832
6.989,98.746
7.853,91.613
7.233,87.101
10.43,88.568
8.351,76.715
5.52,71.565
9.6,62.501
7.066,67.249
3.158,69.092
4.436,57.67
5.322,60.341
6.14,65.071
4.631,70.017
4.548,74.667
5.775,88.152
7.648,89.132
9.004,90.818
9.603,91.432
10.066,86.055
9.294,82.042
8.481,75.635
7.873,82.6
6.998,80.166
7.181,74.814
7.163,72.553
7.254,66.903
6.787,75.173
6.489,70.278
7.2,76.399
6.704,70.233
4.327,60.593
3.332,68.199
2.263,70.096
1.508,79.695
2.337,94.16
2.735,94.16
3.157,89.076
3.146,82.983
3.298,70.942
4.097,78.69
3.155,65.659
3.637,68.682
4.139,87.563
4.427,82.999
4.638,82.011
5.028,79.54
6.002,83.089
6.223,84.193
4.756,76.429
7.514,82.349
7.347,75.379
5.076,91.762
8.313,91.45
7.123,86.729
6.261,87.51
6.517,78.566
6.008,84.026
7.631,93.077
7.126,95.042
7.422,91.79
6.84,90.63
5.314,89.363
4.604,78.425
5.003,76.578
4.656,68.443
4.796,60.255
4.801,52.067
5.246,48.945
5.919,53.13
5.582,57.529
5.17,70.408
5.253,83.558
4.766,94.927
4.932,83.991
5.072,83.746
6.076,93.489
4.673,88.55
5.044,81.304
5.665,78.287
5.2,72.847
4.985,66.176
3.666,62.387
3.948,56.07
4.22,54.039
4.868,52.125
4.47,43.025
4.76,44.236
4.895,39.035
4.989,43.152
5.457,53.616
4.561,40.462
3.586,31.759
3.421,22.249
4.084,28.811
3.878,20.556
3.408,30.964
2.417,66.037
1.797,101.31
1.915,101.31
2.713,87.955
2.81,74.291
1.762,77.661
2.196,78.69
2.283,58.24
1.101,60.945
1.078,46.397
1.149,32.905
1.277,14.036
1.618,19.983
1.432,21.037
1.347,7.595
2.474,343.073
3.221,332.103
3.831,317.49
4.323,290.556
5.454,270.0
5.869,266.987
4.87,286.26
4.869,294.444
6.71,297.98
5.843,225.0
4.945,267.614
4.288,258.93
8.731,286.699
8.545,251.565
9.766,260.538
5.491,217.011
6.32,207.408
7.6,233.13
10.013,278.427
12.34,300.257
13.598,308.66
14.774,311.285
15.647,308.83
15.545,305.395
15.458,298.927
17.113,294.275
16.191,288.189
17.283,298.156
17.57,299.539
16.414,301.608
14.804,303.944
11.785,258.179
12.163,236.31
10.598,222.769
9.717,214.695
9.348,201.477
8.333,208.393
6.647,175.03
6.619,161.565
6.92,206.565
8.843,225.0
8.668,260.218
6.476,307.185
6.683,299.899
6.836,293.963
6.46,282.68
6.607,278.746
6.357,277.431
5.74,272.49
6.45,291.801
6.688,309.094
7.308,304.509
8.263,299.745
8.472,301.76
7.458,90.0
7.274,104.036
7.292,116.565
7.155,107.745
7.056,111.448
6.597,108.435
6.308,93.576
6.098,69.075
5.076,67.62
4.225,55.784
5.025,60.395
5.428,37.093
3.976,5.29
4.176,352.648
4.77,353.019
4.782,354.56
4.256,335.095
4.071,345.379
0.9,345.964
1.865,338.963
2.792,320.195
3.354,333.435
3.69,90.0
3.745,49.086
3.072,50.194
2.473,80.134
1.765,97.595
3.247,83.991
1.548,30.256
2.198,64.983
0.868,158.199
1.53,30.964
3.089,50.194
3.194,51.953
2.922,52.595
3.051,58.465
3.409,66.037
2.431,53.13
2.085,50.793
2.476,49.844
2.686,41.186
3.303,44.061
4.083,37.648
4.248,37.999
4.466,47.291
4.614,45.971
5.053,47.862
1.995,53.13
3.056,58.324
2.431,62.049
2.472,72.718
2.933,80.96
2.192,79.461
2.814,65.056
3.841,73.886
5.061,62.85
4.868,73.443
4.301,73.496
3.034,83.157
2.645,112.249
4.517,97.97
4.81,97.989
4.466,86.055
4.24,93.417
5.027,105.038
4.557,103.861
5.704,105.376
6.063,101.669
5.603,95.768
5.147,88.332
4.572,91.685
4.089,87.026
4.842,85.544
4.424,85.17
5.39,89.17
4.033,91.818
1.45,72.718
3.198,77.905
4.918,81.634
5.544,99.819
7.616,76.551
4.937,69.928
3.777,27.095
2.333,18.8
5.025,14.826
5.002,27.897
5.054,27.095
5.269,5.826
6.02,0.0
6.91,350.181
5.839,333.435
4.884,320.965
4.534,321.116
4.644,319.764
5.298,316.169
5.601,298.073
4.313,262.147
6.59,315.0
3.815,347.005
4.657,261.469
3.609,296.565
4.904,264.094
3.732,273.468
3.535,251.565
4.219,252.121
4.286,272.291
5.345,283.496
4.714,246.371
7.95,300.964
6.765,296.565
5.39,308.66
5.628,312.614
6.322,323.746
6.829,318.122
5.96,313.781
5.861,311.497
6.41,300.964
