wind_speed,direction
7.535,244.359
6.997,252.35
7.045,262.057
7.034,275.572
7.094,285.255
7.022,295.463
5.263,293.385
5.392,302.574
6.407,298.523
7.269,277.651
6.008,259.875
5.182,250.821
3.614,216.254
4.339,233.13
4.969,246.501
5.51,246.038
5.087,253.74
4.686,264.806
4.869,311.634
5.571,294.146
5.925,299.358
6.006,295.278
6.417,289.983
6.49,281.535
3.635,275.043
3.328,268.363
3.295,260.272
2.302,249.444
2.038,111.801
4.712,154.592
2.926,290.225
3.826,87.614
3.92,81.027
5.311,36.469
5.721,318.18
6.723,305.363
7.89,286.699
8.43,264.806
8.107,248.199
7.54,232.431
6.404,217.476
6.074,215.34
6.244,219.144
6.194,223.409
6.016,228.367
5.847,232.125
6.388,231.147
7.289,232.431
9.812,237.804
10.573,233.791
9.25,244.134
9.259,242.176
13.069,234.189
6.072,201.501
7.499,215.272
5.806,236.31
5.68,215.676
7.019,223.919
7.025,210.379
7.623,250.974
12.938,269.31
12.952,272.175
13.509,270.735
13.503,260.538
12.372,260.838
12.198,266.367
11.393,265.462
11.478,265.668
11.145,260.049
9.223,264.428
7.81,281.31
6.948,299.745
7.25,345.619
6.748,330.069
5.184,308.29
7.454,347.905
6.859,349.992
8.602,37.185
11.168,7.651
11.936,348.559
10.988,2.632
8.16,12.184
6.604,358.473
7.337,354.596
8.376,339.647
8.132,351.741
7.974,332.103
7.986,311.923
7.932,300.651
8.11,294.775
7.563,304.439
7.528,311.532
7.728,315.0
7.324,326.004
7.829,332.593
8.045,331.314
7.987,336.682
8.045,342.646
7.474,342.475
7.806,328.241
6.607,340.145
5.967,1.219
8.08,1.302
11.622,12.745
11.688,20.821
10.633,15.945
10.303,18.199
10.741,7.549
11.736,350.028
11.25,348.818
11.111,345.027
11.667,334.29
12.199,336.092
12.486,352.632
10.933,350.634
12.08,337.068
14.25,336.125
14.227,335.772
15.11,334.374
15.551,336.861
13.73,336.869
14.837,327.6
12.84,325.408
11.176,316.42
12.878,320.44
9.216,308.437
6.928,265.711
5.267,323.13
4.882,321.34
8.052,40.486
10.303,334.47
14.53,344.148
14.716,339.696
15.802,338.649
