wind_speed,direction
3.432,293.629
2.875,259.695
4.557,257.005
4.803,220.815
5.297,217.875
5.024,229.764
5.027,236.725
4.638,254.291
4.646,268.21
5.73,265.711
4.505,142.306
2.133,14.036
5.099,318.504
7.281,317.175
9.14,319.994
10.947,316.79
11.518,312.474
11.106,312.78
11.827,300.964
11.741,304.658
11.829,305.134
12.084,304.946
12.896,303.69
13.793,302.32
8.71,288.947
7.295,277.001
7.371,254.055
7.485,235.244
8.491,225.591
8.12,222.51
8.174,222.51
6.678,215.538
5.203,209.932
3.285,196.699
1.879,180.0
3.524,322.595
4.209,320.711
5.614,315.0
5.666,307.999
6.685,296.054
7.18,289.44
7.546,286.22
7.96,287.242
7.995,283.134
8.066,280.954
8.13,277.237
7.877,269.061
7.015,263.541
3.759,272.203
1.365,248.199
1.578,188.13
1.875,161.565
1.647,164.055
1.584,128.66
2.06,150.945
1.794,60.255
3.341,15.945
4.321,356.186
5.358,346.676
6.276,338.429
8.194,334.654
8.764,322.125
8.806,307.875
9.529,297.937
9.109,294.044
9.362,286.699
8.35,269.105
7.958,259.439
7.031,266.698
6.898,268.877
6.77,272.291
5.174,274.764
3.051,273.18
3.648,260.134
4.28,246.038
4.554,231.34
5.134,227.203
5.231,215.362
4.871,211.827
3.758,208.61
3.964,221.987
3.767,236.31
3.854,261.254
5.08,285.524
4.622,256.76
5.773,230.356
6.487,211.891
6.43,196.699
4.789,187.696
2.814,174.289
2.29,140.194
1.881,105.255
2.575,83.29
2.184,85.914
2.252,78.69
2.313,64.983
4.08,20.136
4.287,71.03
4.567,69.075
4.189,58.736
4.296,54.462
4.912,56.31
4.582,54.09
6.426,63.925
7.617,47.663
6.72,17.02
7.945,22.329
8.107,32.4
7.527,27.474
8.118,348.504
8.259,337.671
9.003,333.048
8.708,332.242
8.847,332.282
8.922,331.928
8.585,331.114
8.475,329.932
8.635,332.676
9.477,334.799
9.257,330.642
8.128,320.08
7.241,357.955
8.218,355.601
7.938,355.389
6.715,4.399
6.018,13.448
5.543,36.607
7.037,38.333
6.641,28.072
7.188,24.274
8.888,9.727
11.732,356.386
9.776,5.856
11.717,7.199
15.098,3.633
11.352,356.923
6.263,315.0
8.515,300.51
8.094,298.238
8.537,302.949
8.921,310.236
8.798,315.603
8.503,314.371
8.914,306.027
7.561,311.634
7.617,270.939
7.659,259.778
7.747,251.565
7.071,249.677
6.563,243.435
5.952,230.793
4.775,213.69
3.852,150.018
1.302,159.444
2.853,295.346
3.976,308.368
4.232,325.84
5.555,310.462
5.791,298.811
6.23,286.587
7.457,272.911
7.871,255.069
7.086,260.538
7.607,256.201
7.582,258.111
6.72,256.239
5.878,252.408
5.469,249.275
7.837,242.152
6.948,228.094
5.628,212.905
5.251,208.61
5.182,198.435
