wind_speed,direction
11.265,289.069
11.177,289.069
11.206,283.548
10.698,278.531
10.286,274.456
10.185,263.246
11.044,287.354
10.469,290.045
11.152,303.136
11.133,302.217
12.154,297.897
11.496,288.034
12.29,273.504
11.178,276.411
10.505,284.365
8.758,289.213
5.872,310.314
6.239,294.864
7.792,296.565
7.232,298.856
7.258,302.005
7.441,296.565
7.21,294.775
6.595,298.523
7.844,294.656
8.585,295.201
8.216,298.355
7.108,298.238
6.303,295.145
5.295,289.231
6.237,301.891
6.956,287.526
7.593,288.166
7.246,290.45
4.764,303.69
6.732,288.122
4.169,301.828
4.888,336.038
4.544,341.565
4.697,347.471
5.17,354.56
4.994,345.964
2.094,282.995
1.575,299.055
1.291,323.13
3.314,306.469
4.38,295.866
4.358,279.211
2.68,262.875
1.776,304.695
0.859,0.0
1.805,11.31
2.655,85.601
4.511,129.806
8.143,136.332
7.519,143.344
7.985,153.435
6.994,151.991
6.676,145.376
8.899,137.779
8.691,113.629
7.675,112.751
7.989,104.421
7.564,98.746
8.237,92.419
8.179,80.272
5.516,95.947
5.146,96.34
4.473,91.432
3.966,85.101
2.932,101.31
3.605,137.603
4.804,156.615
4.959,155.898
4.522,145.008
3.511,135.0
2.081,165.964
3.206,139.764
4.017,7.125
4.692,138.503
4.279,167.905
3.21,180.0
3.358,126.87
3.288,119.055
4.438,60.461
4.215,58.392
5.101,32.471
5.851,4.764
6.446,345.142
6.633,326.31
7.438,324.211
7.749,323.746
8.696,324.273
10.585,289.259
13.433,297.051
14.445,304.825
11.27,315.0
12.964,321.52
18.428,306.336
19.167,304.866
22.422,300.743
22.894,305.172
21.311,290.963
21.617,293.243
21.667,291.675
22.656,292.818
24.038,291.578
22.36,282.209
22.957,285.422
22.727,275.136
20.373,280.818
20.836,275.408
19.439,273.691
19.099,276.424
18.767,278.775
18.865,275.97
19.181,274.371
19.294,272.521
18.961,271.095
18.729,271.478
18.789,269.236
18.32,271.989
18.078,274.865
17.68,276.661
17.032,279.605
15.018,287.605
19.176,287.939
19.289,289.549
20.249,294.261
20.191,295.278
20.996,296.721
21.066,297.499
21.324,295.017
21.082,295.616
20.726,294.929
21.094,295.758
21.93,294.416
22.585,291.985
21.956,291.991
22.092,291.864
21.916,290.477
21.522,288.217
21.232,283.1
20.039,277.079
17.541,268.277
16.286,257.838
15.926,256.329
15.131,253.909
14.218,245.925
13.097,241.821
11.883,231.736
10.612,220.525
9.544,217.476
8.428,214.16
7.255,213.147
6.088,217.569
5.931,229.145
4.905,232.001
4.075,215.134
3.698,210.256
4.124,212.005
2.755,198.435
2.288,277.125
2.844,298.611
3.623,306.87
3.75,311.186
4.09,306.87
4.117,301.329
2.709,280.008
2.698,279.462
2.415,280.62
2.092,261.254
1.673,180.0
3.073,157.62
2.23,190.305
2.992,47.489
2.902,32.471
3.234,4.399
4.298,334.654
5.404,323.842
6.533,335.225
5.559,287.447
2.876,213.69
2.537,237.529
2.76,227.726
2.687,180.0
2.639,124.695
2.698,79.992
2.638,49.764
2.329,21.037
2.131,344.745
2.164,315.0
1.788,296.565
1.822,254.055
2.047,139.399
4.534,178.409
8.281,189.728
6.641,185.29
6.847,163.909
4.833,160.56
4.614,183.576
5.624,178.698
5.61,194.744
5.139,190.008
6.022,170.134
7.348,150.488
8.806,126.87
7.385,128.517
7.02,122.32
6.865,123.69
6.026,122.276
5.258,124.114
4.655,122.196
4.48,124.216
4.304,135.0
4.352,146.31
4.507,133.727
4.192,141.953
4.513,149.349
4.953,138.366
4.913,130.426
4.861,125.538
4.273,115.71
4.153,114.775
4.023,119.476
4.487,129.806
5.223,119.197
6.423,138.094
7.731,122.005
8.217,115.844
7.313,113.318
7.739,112.751
8.336,113.405
8.478,108.925
8.692,109.148
8.593,99.335
8.138,100.008
7.998,92.564
7.366,90.971
6.481,91.146
6.734,93.302
6.504,92.291
5.903,93.814
5.316,96.953
4.943,103.324
4.77,113.199
4.965,115.906
5.575,125.538
5.702,131.309
6.509,132.647
7.145,120.619
7.912,126.347
8.28,122.535
8.928,108.925
7.809,98.005
6.886,91.023
6.404,92.246
5.856,93.814
6.201,90.0
5.965,86.269
6.144,79.592
6.018,72.299
5.252,66.974
4.789,64.722
5.103,59.264
5.123,46.79
4.545,37.147
4.053,23.198
2.856,8.427
1.354,315.0
2.663,353.66
2.056,327.265
0.958,315.0
3.125,334.359
3.813,300.141
6.113,294.842
7.168,295.796
6.772,291.975
5.502,284.036
5.505,282.408
6.705,272.726
6.688,263.454
5.415,278.531
7.558,249.551
8.653,263.066
9.992,271.348
11.839,279.744
12.274,282.779
10.408,293.199
9.838,315.567
10.407,314.493
11.617,307.763
13.055,307.716
11.728,302.152
14.182,301.535
10.916,348.024
12.347,338.078
13.125,333.705
14.405,331.736
16.974,328.736
20.197,319.237
22.525,319.185
24.239,321.153
25.376,318.868
25.686,317.783
26.118,316.975
27.019,315.769
26.386,311.473
25.541,306.3
23.884,303.179
23.936,299.859
23.204,295.151
15.881,291.541
13.627,288.435
12.233,283.422
11.23,280.62
10.351,284.783
9.822,288.947
9.02,294.656
9.193,295.427
9.304,294.656
9.545,296.188
10.189,299.358
11.2,305.218
11.653,303.326
12.251,295.463
12.413,290.344
12.093,285.092
11.228,280.244
10.185,280.857
8.631,281.497
8.278,285.524
8.422,294.275
8.615,302.856
9.294,307.405
9.834,304.592
10.195,306.573
11.146,299.181
11.871,293.663
11.916,292.665
11.75,292.891
11.504,289.573
10.195,287.103
9.687,285.843
9.002,284.237
8.348,286.699
8.745,288.166
8.05,274.538
5.775,277.595
5.784,280.081
6.235,284.621
4.92,277.907
4.473,280.305
4.456,275.043
3.423,272.203
3.696,282.995
3.491,296.565
4.198,312.138
5.134,312.798
5.723,319.686
5.321,334.722
5.794,334.592
5.983,319.399
6.202,306.634
5.069,311.76
6.944,298.443
7.114,253.611
4.906,301.828
5.299,288.97
7.07,305.273
9.728,300.7
13.505,293.268
16.102,288.569
14.734,285.751
13.807,273.013
13.612,266.486
13.328,259.192
12.887,253.611
12.968,249.076
13.478,253.35
12.817,251.565
11.709,248.782
10.373,252.284
10.589,258.111
9.97,253.009
9.221,262.235
8.463,274.014
8.15,263.29
4.388,310.601
8.592,266.186
10.588,276.843
10.942,277.734
10.137,283.496
6.581,298.301
7.038,311.424
9.635,316.102
8.588,315.0
9.409,304.796
11.461,285.422
12.119,280.146
13.505,280.069
14.217,281.411
12.738,289.344
13.99,292.27
14.662,294.011
15.577,293.963
16.425,291.251
17.008,287.403
14.926,278.393
14.402,276.394
14.144,271.975
13.508,269.484
13.566,266.961
13.587,266.455
9.724,270.0
9.885,270.0
9.336,270.0
10.308,282.144
10.523,285.376
11.453,275.711
9.833,277.125
10.077,272.936
9.495,270.796
10.583,267.852
12.181,267.537
12.502,269.397
13.863,268.363
17.161,264.201
17.968,274.175
17.573,286.243
17.473,290.913
17.369,290.4
15.657,296.351
16.067,294.444
16.042,279.926
15.826,277.595
13.966,278.13
13.231,288.825
12.906,284.886
10.202,297.408
13.603,282.724
14.941,278.945
16.832,281.399
18.46,278.13
18.965,272.783
19.799,264.738
18.289,270.813
17.498,268.736
21.158,264.898
19.511,274.485
18.453,273.552
17.538,289.37
20.585,273.18
21.471,276.789
21.885,274.984
21.337,275.133
16.166,269.061
14.895,267.918
14.485,270.0
14.407,270.0
14.055,266.666
13.252,266.987
11.402,275.064
11.161,273.764
11.36,281.739
12.904,285.362
14.895,278.409
16.393,272.137
13.339,271.112
13.197,272.224
14.139,272.102
13.521,272.753
13.024,276.155
13.063,280.204
13.05,274.667
12.763,276.271
12.554,276.483
13.316,277.275
13.749,277.199
14.119,276.404
13.972,270.562
14.663,268.424
14.873,267.918
14.373,267.299
13.426,267.049
12.939,268.152
11.979,271.317
11.463,280.366
12.105,281.56
11.012,290.472
12.446,298.996
13.189,305.538
13.846,310.544
14.085,300.784
13.694,296.565
13.27,288.789
13.654,290.879
13.306,289.841
14.476,296.342
15.627,292.551
15.069,291.801
14.08,291.251
13.241,293.691
11.823,300.964
10.269,310.525
9.769,310.28
12.399,297.897
10.784,328.267
9.45,315.0
9.305,332.723
8.306,306.502
6.488,318.468
10.266,316.061
12.901,303.531
14.559,310.657
14.738,305.074
14.163,311.589
15.069,308.737
14.365,308.418
14.017,311.987
13.038,315.418
13.326,314.594
15.189,305.595
14.591,298.405
14.007,297.759
12.932,299.454
12.608,300.041
11.453,298.034
12.146,297.108
11.266,302.775
9.255,296.952
11.642,288.217
12.794,278.973
12.204,285.092
12.202,301.522
11.747,298.443
13.709,297.332
12.243,298.867
12.363,297.408
12.963,304.019
17.221,306.277
17.444,306.617
17.079,304.173
16.599,311.186
16.91,311.269
16.828,309.352
17.91,307.367
18.196,305.159
18.654,305.025
19.267,304.346
20.374,303.69
21.232,302.388
22.704,297.001
24.501,295.107
23.908,292.314
24.642,291.746
25.1,291.144
25.621,291.477
22.516,290.839
22.907,290.158
22.506,289.954
22.464,290.556
22.05,290.726
22.261,291.735
23.11,290.915
22.911,291.737
23.027,291.93
23.098,291.425
22.75,287.9
21.975,286.869
19.221,287.133
18.829,283.935
17.195,283.291
14.137,287.259
11.777,282.894
10.696,274.764
8.566,275.29
8.065,274.667
8.188,280.408
7.727,292.036
8.001,296.03
8.773,297.031
9.551,303.207
10.396,303.906
11.613,303.879
13.031,304.509
14.912,307.875
17.036,309.75
17.872,312.639
18.028,310.285
18.13,310.872
18.695,307.84
19.48,306.027
19.356,304.647
19.387,303.69
19.271,302.005
19.14,300.504
18.521,300.828
17.949,301.39
17.649,303.573
15.599,307.917
15.987,307.794
14.886,307.476
14.807,306.363
14.832,306.769
13.45,306.529
14.178,315.0
13.484,319.764
14.306,325.008
16.885,327.995
14.507,329.744
12.225,334.564
12.657,309.958
12.755,310.101
12.818,306.529
12.886,298.836
11.411,301.185
10.147,298.843
8.514,320.08
8.479,330.141
7.816,326.889
7.194,337.38
8.918,342.35
8.821,347.196
9.739,352.694
11.275,353.797
10.518,350.647
9.643,354.144
7.898,24.444
11.701,58.717
10.09,35.707
11.068,15.852
8.995,16.991
12.396,5.356
11.077,359.31
14.278,7.319
14.754,350.698
16.065,354.201
16.195,346.504
15.363,352.067
15.647,359.563
12.743,1.146
15.777,0.0
15.997,354.29
17.303,355.635
18.708,356.0
19.759,357.381
20.406,355.992
16.302,338.459
15.233,354.898
13.388,331.859
11.906,340.524
11.381,343.426
17.762,341.565
12.473,338.199
15.537,339.775
12.334,330.333
15.989,351.076
12.475,358.819
16.253,335.813
16.35,317.573
12.247,330.018
15.402,316.042
15.305,318.769
17.349,327.95
15.988,320.377
16.685,333.027
16.135,333.435
16.259,333.646
16.762,332.622
17.052,335.63
16.164,337.235
16.334,344.501
15.204,343.301
9.843,358.21
15.792,347.471
19.656,350.91
20.256,346.504
15.807,353.766
12.624,326.865
19.123,339.444
18.164,334.191
21.412,336.983
16.915,337.788
19.238,341.689
18.743,345.48
18.878,345.579
20.502,345.069
20.98,340.201
20.465,334.584
22.011,337.329
21.769,334.799
21.813,333.435
21.942,334.479
22.249,333.581
22.413,332.71
21.826,325.939
23.191,322.944
20.31,313.169
18.902,315.562
17.277,317.785
17.419,311.704
13.843,314.599
13.899,320.477
14.362,319.921
16.593,322.595
18.076,315.0
17.708,319.667
18.16,321.843
18.836,318.526
19.795,317.799
20.005,311.987
19.244,312.898
18.688,311.222
18.019,308.047
17.616,307.91
17.277,306.626
17.16,307.117
17.195,307.694
17.499,306.951
15.715,308.517
15.498,304.461
15.103,304.216
15.733,294.331
14.552,285.604
12.097,279.36
10.504,272.862
10.244,268.55
9.336,267.581
9.731,273.866
8.965,274.268
8.02,270.971
7.237,283.782
6.635,286.587
6.543,283.449
6.511,292.715
7.166,296.075
7.571,296.565
7.286,291.194
7.911,284.036
7.773,278.276
7.096,279.462
7.005,283.449
7.158,291.801
5.738,315.0
7.391,312.647
8.656,306.502
9.644,305.728
10.089,304.548
10.146,295.866
11.067,285.945
10.411,282.265
10.505,291.209
11.734,301.651
12.249,302.137
11.681,313.647
11.18,300.5
11.763,307.875
12.759,305.273
13.418,290.999
13.372,286.02
14.235,286.504
14.541,285.739
16.408,285.408
16.008,288.146
14.932,290.377
14.23,296.811
14.223,302.005
13.451,313.798
12.243,316.818
10.006,311.987
7.284,222.089
7.661,319.237
8.519,330.101
10.283,331.587
9.289,342.7
9.517,356.479
9.099,338.963
10.528,298.811
10.052,287.879
10.621,299.124
10.323,298.551
10.266,299.56
10.579,297.525
10.995,300.257
10.673,303.69
9.776,303.476
9.777,303.476
10.138,309.806
9.985,321.34
9.697,330.945
8.837,338.026
8.947,329.809
8.554,319.086
10.075,302.005
11.354,302.152
10.954,309.094
7.468,319.939
6.372,326.689
8.839,331.114
9.794,329.172
10.633,322.562
11.203,318.205
10.379,311.878
11.007,304.825
11.579,304.216
11.455,301.185
11.228,298.927
11.905,297.672
12.441,297.621
12.992,298.339
12.941,299.887
12.689,299.228
13.092,300.174
13.679,302.932
13.084,305.942
13.718,313.473
13.708,326.16
11.297,330.499
10.356,331.798
8.557,321.044
12.279,331.004
11.542,302.276
9.511,263.66
7.583,262.333
7.342,270.0
6.903,267.563
5.615,262.304
5.935,248.459
4.56,259.875
3.483,261.469
3.49,230.528
3.153,219.094
2.02,221.186
1.795,279.462
2.11,286.699
2.633,295.017
2.844,266.987
2.754,258.111
2.282,266.424
1.091,291.801
1.284,270.0
1.359,315.0
1.048,315.0
0.937,0.0
0.794,180.0
1.71,155.556
1.755,118.61
1.845,131.987
2.276,141.843
3.407,145.175
4.115,154.179
5.606,145.008
6.685,134.31
7.489,119.31
6.942,108.435
7.601,99.462
7.554,86.583
7.967,73.142
6.885,62.103
6.451,58.671
5.496,55.954
5.001,55.125
4.896,51.115
