wind_speed,direction
9.666,90.0
10.443,90.0
10.291,87.337
10.627,88.132
9.86,86.099
10.377,87.397
7.989,72.734
8.376,69.887
9.924,75.465
12.844,71.241
12.613,69.185
11.982,65.813
11.813,61.607
10.894,53.043
10.852,45.31
10.295,43.546
10.813,36.384
12.362,36.135
11.414,28.024
12.326,22.492
12.285,23.364
11.427,63.759
13.496,70.769
11.856,88.768
4.5,80.538
5.239,64.204
7.511,71.822
9.829,66.105
10.626,71.365
10.008,73.872
8.872,92.203
10.501,94.497
11.689,85.471
10.907,89.384
12.877,76.329
11.986,60.668
13.884,64.592
15.584,59.036
14.527,53.682
13.051,47.698
12.359,41.228
12.583,37.304
10.371,29.157
9.837,29.615
9.62,29.415
8.461,53.82
8.192,56.746
6.577,59.036
4.716,77.32
4.447,83.66
4.157,86.633
4.329,108.925
4.357,106.991
3.677,104.036
2.739,3.013
2.285,105.945
9.027,84.019
12.615,82.104
16.261,78.761
17.044,73.365
16.35,69.085
16.662,61.631
15.89,49.885
14.483,37.011
13.519,30.838
12.993,27.937
11.628,21.161
11.391,17.3
10.057,8.059
9.888,353.53
8.961,337.497
7.349,309.428
6.034,343.179
6.498,346.43
6.125,101.689
3.982,82.648
3.393,69.677
6.256,55.175
3.87,62.103
3.17,108.435
3.14,56.31
5.902,53.569
8.511,60.068
10.509,49.475
9.441,53.005
5.657,345.964
6.633,333.435
6.566,346.239
6.357,321.34
5.667,316.219
6.408,320.013
5.682,319.185
5.781,323.616
6.061,337.751
5.124,353.157
4.969,347.125
4.727,318.24
5.454,327.848
4.77,327.172
4.81,310.764
5.532,299.428
3.01,267.955
2.719,265.764
8.015,97.64
8.978,65.26
12.714,62.3
11.373,54.26
7.49,34.992
11.422,38.592
11.05,35.028
10.295,30.561
8.74,24.851
10.322,28.768
10.202,25.228
7.258,29.054
8.059,22.664
8.736,19.113
9.197,45.939
8.99,47.579
8.188,49.044
6.945,53.902
7.031,60.255
8.275,51.981
7.855,75.124
10.211,75.027
11.073,79.16
12.07,79.895
12.443,80.362
13.089,79.739
16.556,67.964
18.296,65.391
15.642,59.374
19.418,66.101
18.679,62.3
16.736,59.036
16.248,58.226
15.22,60.058
15.221,59.802
14.242,49.304
13.888,47.215
13.892,46.565
13.637,48.44
11.645,58.65
10.827,67.479
9.767,67.81
9.792,67.81
9.856,70.253
9.677,75.964
9.905,81.203
10.009,76.452
9.409,78.551
9.919,76.13
12.944,77.412
13.556,71.565
15.305,67.733
15.007,53.616
14.196,61.422
13.075,56.192
11.149,54.894
