,ucmp,vcmp,geop,topog
520,149.51375,149.51375,149.52051,149.52051
521,149.52724,149.52724,149.534,149.534
522,149.54074,149.54074,149.5475,149.5475
523,149.55424,149.55424,149.561,149.561
524,149.56775,149.56775,149.57451,149.57451
525,149.58124,149.58124,149.588,149.588
526,149.59474,149.59474,149.6015,149.6015
527,149.60825,149.60825,149.615,149.615
528,149.62175,149.62175,149.62851,149.62851
529,149.63524,149.63524,149.642,149.642
530,149.64874,149.64874,149.6555,149.6555
531,149.66225,149.66225,149.669,149.669
532,149.67575,149.67575,149.68251,149.68251
533,149.68924,149.68924,149.696,149.696
534,149.70274,149.70274,149.7095,149.7095
535,149.71625,149.71625,149.723,149.723
536,149.72974,149.72974,149.73651,149.73651
537,149.74324,149.74324,149.75,149.75
538,149.75674,149.75674,149.7635,149.7635
539,149.77025,149.77025,149.77701,149.77701
540,149.78374,149.78374,149.7905,149.7905
541,149.79724,149.79724,149.804,149.804
542,149.81075,149.81075,149.8175,149.8175
543,149.82425,149.82425,149.83101,149.83101
544,149.83774,149.83774,149.8445,149.8445
545,149.85124,149.85124,149.858,149.858
546,149.86475,149.86475,149.8715,149.8715
547,149.87825,149.87825,149.88501,149.88501
548,149.89174,149.89174,149.8985,149.8985
549,149.90524,149.90524,149.912,149.912
550,149.91875,149.91875,149.9255,149.9255
551,149.93225,149.93225,149.93901,149.93901
552,149.94574,149.94574,149.9525,149.9525
553,149.95924,149.95924,149.966,149.966
554,149.97275,149.97275,149.9795,149.9795
555,149.98624,149.98624,149.99301,149.99301
556,149.99974,149.99974,150.0065,150.0065
557,150.01324,150.01324,150.02,150.02
558,150.02675,150.02675,150.03351,150.03351
559,150.04024,150.04024,150.047,150.047
560,150.05374,150.05374,150.0605,150.0605
561,150.06725,150.06725,150.074,150.074
562,150.08075,150.08075,150.08751,150.08751
563,150.09424,150.09424,150.101,150.101
564,150.10774,150.10774,150.1145,150.1145
565,150.12125,150.12125,150.128,150.128
566,150.13475,150.13475,150.14151,150.14151
567,150.14824,150.14824,150.155,150.155
568,150.16174,150.16174,150.1685,150.1685
569,150.17525,150.17525,150.182,150.182
570,150.18875,150.18875,150.19551,150.19551
571,150.20224,150.20224,150.209,150.209
572,150.21574,150.21574,150.2225,150.2225
573,150.22925,150.22925,150.23601,150.23601
574,150.24274,150.24274,150.2495,150.2495
575,150.25624,150.25624,150.263,150.263
576,150.26974,150.26974,150.2765,150.2765
577,150.28325,150.28325,150.29001,150.29001
578,150.29674,150.29674,150.3035,150.3035
579,150.31024,150.31024,150.317,150.317
580,150.32375,150.32375,150.3305,150.3305
581,150.33725,150.33725,150.34401,150.34401
582,150.35074,150.35074,150.3575,150.3575
583,150.36424,150.36424,150.371,150.371
584,150.37775,150.37775,150.3845,150.3845
585,150.39125,150.39125,150.39801,150.39801
586,150.40474,150.40474,150.4115,150.4115
587,150.41824,150.41824,150.425,150.425
588,150.43175,150.43175,150.4385,150.4385
589,150.44525,150.44525,150.45201,150.45201
590,150.45874,150.45874,150.4655,150.4655
591,150.47224,150.47224,150.479,150.479
592,150.48575,150.48575,150.49251,150.49251
593,150.49924,150.49924,150.506,150.506
